LocationTime,LOCATION,INDICATOR,TIME,Value
GRC-2008,GRC,ALCOHOL,2008,8.7
GRC-2009,GRC,ALCOHOL,2009,8.3
GRC-2010,GRC,ALCOHOL,2010,8.3
GRC-2011,GRC,ALCOHOL,2011,7.5
GRC-2012,GRC,ALCOHOL,2012,7.6
GRC-2013,GRC,ALCOHOL,2013,7.6
GRC-2014,GRC,ALCOHOL,2014,7.1
GRC-2015,GRC,ALCOHOL,2015,6.7
GRC-2016,GRC,ALCOHOL,2016,6.7
GRC-2017,GRC,ALCOHOL,2017,6.7
GRC-2018,GRC,ALCOHOL,2018,6.5
GRC-2019,GRC,ALCOHOL,2019,6.3
HUN-1990,HUN,ALCOHOL,1990,13.9
HUN-1991,HUN,ALCOHOL,1991,13.3
HUN-1992,HUN,ALCOHOL,1992,13.0
HUN-1993,HUN,ALCOHOL,1993,13.1
HUN-1994,HUN,ALCOHOL,1994,12.9
HUN-1995,HUN,ALCOHOL,1995,12.2
HUN-1996,HUN,ALCOHOL,1996,12.5
HUN-1997,HUN,ALCOHOL,1997,12.3
HUN-1998,HUN,ALCOHOL,1998,12.2
HUN-1999,HUN,ALCOHOL,1999,12.2
HUN-2000,HUN,ALCOHOL,2000,12.0
HUN-2001,HUN,ALCOHOL,2001,13.2
HUN-2002,HUN,ALCOHOL,2002,13.3
HUN-2003,HUN,ALCOHOL,2003,13.2
HUN-2004,HUN,ALCOHOL,2004,13.2
HUN-2005,HUN,ALCOHOL,2005,13.0
HUN-2006,HUN,ALCOHOL,2006,13.2
HUN-2007,HUN,ALCOHOL,2007,12.6
HUN-2008,HUN,ALCOHOL,2008,11.8
HUN-2009,HUN,ALCOHOL,2009,11.5
HUN-2010,HUN,ALCOHOL,2010,10.8
HUN-2011,HUN,ALCOHOL,2011,11.4
HUN-2012,HUN,ALCOHOL,2012,11.1
HUN-2013,HUN,ALCOHOL,2013,10.6
HUN-2014,HUN,ALCOHOL,2014,10.9
HUN-2015,HUN,ALCOHOL,2015,10.8
HUN-2016,HUN,ALCOHOL,2016,11.1
HUN-2017,HUN,ALCOHOL,2017,10.7
HUN-2018,HUN,ALCOHOL,2018,11.4
HUN-2019,HUN,ALCOHOL,2019,10.7
HUN-2020,HUN,ALCOHOL,2020,10.4
ISL-1990,ISL,ALCOHOL,1990,5.1
