LocationTime,LOCATION,INDICATOR,TIME,Value
BEL-2020,BEL,EDUADULT,2020,20.218918
BEL-1991,BEL,EDUADULT,1991,19.620007
BEL-1992,BEL,EDUADULT,1992,20.226023
BEL-1994,BEL,EDUADULT,1994,22.345255
BEL-1995,BEL,EDUADULT,1995,24.604177
BEL-2000,BEL,EDUADULT,2000,27.084993
BEL-2001,BEL,EDUADULT,2001,27.626753
BEL-2002,BEL,EDUADULT,2002,28.134819
BEL-2003,BEL,EDUADULT,2003,29.031809
BEL-2004,BEL,EDUADULT,2004,30.40086
BEL-2005,BEL,EDUADULT,2005,31.045088
BEL-2006,BEL,EDUADULT,2006,31.754845
BEL-2007,BEL,EDUADULT,2007,32.094864
BEL-2008,BEL,EDUADULT,2008,32.310043
BEL-2009,BEL,EDUADULT,2009,33.397053
BEL-2010,BEL,EDUADULT,2010,34.989502
BEL-2011,BEL,EDUADULT,2011,34.612984
BEL-2012,BEL,EDUADULT,2012,35.316551
BEL-2013,BEL,EDUADULT,2013,35.535332
BEL-2014,BEL,EDUADULT,2014,36.855022
BEL-2015,BEL,EDUADULT,2015,36.857422
BEL-2016,BEL,EDUADULT,2016,37.503956
BEL-2017,BEL,EDUADULT,2017,40.257053
BEL-2018,BEL,EDUADULT,2018,40.638546
BEL-2019,BEL,EDUADULT,2019,40.67009
BEL-2020,BEL,EDUADULT,2020,42.442284
BEL-1991,BEL,EDUADULT,1991,23.549244
BEL-1992,BEL,EDUADULT,1992,25.037067
BEL-1994,BEL,EDUADULT,1994,27.017561
BEL-1995,BEL,EDUADULT,1995,28.850407
BEL-2000,BEL,EDUADULT,2000,31.438227
BEL-2001,BEL,EDUADULT,2001,31.836805
BEL-2002,BEL,EDUADULT,2002,32.668564
BEL-2003,BEL,EDUADULT,2003,33.016048
BEL-2004,BEL,EDUADULT,2004,33.8909
BEL-2005,BEL,EDUADULT,2005,35.051159
BEL-2006,BEL,EDUADULT,2006,35.187229
BEL-2007,BEL,EDUADULT,2007,35.858559
BEL-2008,BEL,EDUADULT,2008,37.26614
BEL-2009,BEL,EDUADULT,2009,37.175842
BEL-2010,BEL,EDUADULT,2010,35.51001
BEL-2011,BEL,EDUADULT,2011,36.653725
BEL-2012,BEL,EDUADULT,2012,36.32708
BEL-2013,BEL,EDUADULT,2013,37.223022
BEL-2014,BEL,EDUADULT,2014,36.695625
BEL-2015,BEL,EDUADULT,2015,37.819675
BEL-2016,BEL,EDUADULT,2016,37.59021
BEL-2017,BEL,EDUADULT,2017,36.540157
BEL-2018,BEL,EDUADULT,2018,37.588238
BEL-2019,BEL,EDUADULT,2019,38.016045
BEL-2020,BEL,EDUADULT,2020,37.338799
CAN-1990,CAN,EDUADULT,1990,31.034004
CAN-1991,CAN,EDUADULT,1991,29.99659
CAN-1992,CAN,EDUADULT,1992,28.664516
CAN-1993,CAN,EDUADULT,1993,26.689636
CAN-1994,CAN,EDUADULT,1994,26.150627
CAN-1995,CAN,EDUADULT,1995,24.862947
CAN-1996,CAN,EDUADULT,1996,23.648046
CAN-1997,CAN,EDUADULT,1997,22.245962
CAN-1998,CAN,EDUADULT,1998,21.320238
CAN-1999,CAN,EDUADULT,1999,20.417206
CAN-2000,CAN,EDUADULT,2000,19.332481
CAN-2001,CAN,EDUADULT,2001,18.011751
CAN-2002,CAN,EDUADULT,2002,17.321903
CAN-2003,CAN,EDUADULT,2003,16.267523
CAN-2004,CAN,EDUADULT,2004,15.686501
CAN-2005,CAN,EDUADULT,2005,14.816504
CAN-2006,CAN,EDUADULT,2006,14.457152
CAN-2007,CAN,EDUADULT,2007,13.494848
CAN-2008,CAN,EDUADULT,2008,13.003522
CAN-2009,CAN,EDUADULT,2009,12.468069
CAN-2010,CAN,EDUADULT,2010,11.736887
CAN-2011,CAN,EDUADULT,2011,11.368477
CAN-2012,CAN,EDUADULT,2012,11.035321
CAN-2013,CAN,EDUADULT,2013,10.45779
CAN-2014,CAN,EDUADULT,2014,10.011459
CAN-2015,CAN,EDUADULT,2015,9.5978909
CAN-2016,CAN,EDUADULT,2016,9.3911886
CAN-2017,CAN,EDUADULT,2017,8.8729382
CAN-2018,CAN,EDUADULT,2018,8.3779144
CAN-2019,CAN,EDUADULT,2019,8.1420355
CAN-2020,CAN,EDUADULT,2020,7.5580816
CAN-1990,CAN,EDUADULT,1990,28.036085
CAN-1991,CAN,EDUADULT,1991,28.271395
CAN-1992,CAN,EDUADULT,1992,29.020555
CAN-1993,CAN,EDUADULT,1993,30.386959
CAN-1994,CAN,EDUADULT,1994,33.485878
CAN-1995,CAN,EDUADULT,1995,34.537247
CAN-1996,CAN,EDUADULT,1996,35.634304
CAN-1997,CAN,EDUADULT,1997,37.415951
CAN-1998,CAN,EDUADULT,1998,38.258327
CAN-1999,CAN,EDUADULT,1999,39.376038
CAN-2000,CAN,EDUADULT,2000,40.105782
CAN-2001,CAN,EDUADULT,2001,41.881519
CAN-2002,CAN,EDUADULT,2002,42.873188
CAN-2003,CAN,EDUADULT,2003,44.123833
CAN-2004,CAN,EDUADULT,2004,44.548969
CAN-2005,CAN,EDUADULT,2005,45.976749
CAN-2006,CAN,EDUADULT,2006,46.881516
CAN-2007,CAN,EDUADULT,2007,48.181564
CAN-2008,CAN,EDUADULT,2008,48.706802
CAN-2009,CAN,EDUADULT,2009,49.290722
CAN-2010,CAN,EDUADULT,2010,50.311695
CAN-2011,CAN,EDUADULT,2011,51.033012
CAN-2012,CAN,EDUADULT,2012,52.305416
CAN-2013,CAN,EDUADULT,2013,52.971439
CAN-2014,CAN,EDUADULT,2014,53.61496
CAN-2015,CAN,EDUADULT,2015,55.17366
CAN-2016,CAN,EDUADULT,2016,56.265068
CAN-2017,CAN,EDUADULT,2017,56.71452
CAN-2018,CAN,EDUADULT,2018,57.888363
CAN-2019,CAN,EDUADULT,2019,59.374844
CAN-2020,CAN,EDUADULT,2020,59.961113
CAN-1990,CAN,EDUADULT,1990,40.929909
CAN-1991,CAN,EDUADULT,1991,41.732014
CAN-1992,CAN,EDUADULT,1992,42.314926
CAN-1993,CAN,EDUADULT,1993,42.923405
CAN-1994,CAN,EDUADULT,1994,40.363495
CAN-1995,CAN,EDUADULT,1995,40.599808
CAN-1996,CAN,EDUADULT,1996,40.717648
CAN-1997,CAN,EDUADULT,1997,40.338089
CAN-1998,CAN,EDUADULT,1998,40.421432
CAN-1999,CAN,EDUADULT,1999,40.206757
CAN-2000,CAN,EDUADULT,2000,40.561737
CAN-2001,CAN,EDUADULT,2001,40.106728
CAN-2002,CAN,EDUADULT,2002,39.804909
CAN-2003,CAN,EDUADULT,2003,39.608646
CAN-2004,CAN,EDUADULT,2004,39.76453
CAN-2005,CAN,EDUADULT,2005,39.206749
CAN-2006,CAN,EDUADULT,2006,38.661331
CAN-2007,CAN,EDUADULT,2007,38.323586
CAN-2008,CAN,EDUADULT,2008,38.289677
CAN-2009,CAN,EDUADULT,2009,38.241207
CAN-2010,CAN,EDUADULT,2010,37.95142
CAN-2011,CAN,EDUADULT,2011,37.598511
CAN-2012,CAN,EDUADULT,2012,36.659264
CAN-2013,CAN,EDUADULT,2013,36.57077
CAN-2014,CAN,EDUADULT,2014,36.373581
CAN-2015,CAN,EDUADULT,2015,35.228447
CAN-2016,CAN,EDUADULT,2016,34.343746
CAN-2017,CAN,EDUADULT,2017,34.412544
CAN-2018,CAN,EDUADULT,2018,33.733723
CAN-2019,CAN,EDUADULT,2019,32.48312
CAN-2020,CAN,EDUADULT,2020,32.480804
CZE-1994,CZE,EDUADULT,1994,17.259413
CZE-1995,CZE,EDUADULT,1995,16.634739
CZE-1997,CZE,EDUADULT,1997,15.044655
CZE-1998,CZE,EDUADULT,1998,14.660916
CZE-1999,CZE,EDUADULT,1999,13.955545
CZE-2000,CZE,EDUADULT,2000,14.05798
CZE-2001,CZE,EDUADULT,2001,13.791635
CZE-2002,CZE,EDUADULT,2002,12.072922
CZE-2003,CZE,EDUADULT,2003,13.580705
CZE-2004,CZE,EDUADULT,2004,10.923604
CZE-2005,CZE,EDUADULT,2005,10.074598
CZE-2006,CZE,EDUADULT,2006,9.7202902
CZE-2007,CZE,EDUADULT,2007,9.4652252
CZE-2008,CZE,EDUADULT,2008,9.096694
CZE-2009,CZE,EDUADULT,2009,8.5971041
CZE-2010,CZE,EDUADULT,2010,8.0573692
CZE-2011,CZE,EDUADULT,2011,7.6677351
CZE-2012,CZE,EDUADULT,2012,7.5491762
CZE-2013,CZE,EDUADULT,2013,7.1797996
CZE-2014,CZE,EDUADULT,2014,6.8099089
CZE-2015,CZE,EDUADULT,2015,6.841207
CZE-2016,CZE,EDUADULT,2016,6.5732007
CZE-2017,CZE,EDUADULT,2017,6.2063141
CZE-2018,CZE,EDUADULT,2018,6.1394086
CZE-2019,CZE,EDUADULT,2019,6.2475748
CZE-2020,CZE,EDUADULT,2020,5.9468889
CZE-1994,CZE,EDUADULT,1994,10.051514
CZE-1995,CZE,EDUADULT,1995,10.607792
CZE-1997,CZE,EDUADULT,1997,10.605698
CZE-1998,CZE,EDUADULT,1998,10.390572
CZE-1999,CZE,EDUADULT,1999,10.835668
CZE-2000,CZE,EDUADULT,2000,10.963162
CZE-2001,CZE,EDUADULT,2001,11.131626
CZE-2002,CZE,EDUADULT,2002,11.94141
CZE-2003,CZE,EDUADULT,2003,12.005664
CZE-2004,CZE,EDUADULT,2004,12.345678
CZE-2005,CZE,EDUADULT,2005,13.058269
CZE-2006,CZE,EDUADULT,2006,13.522043
CZE-2007,CZE,EDUADULT,2007,13.732669
CZE-2008,CZE,EDUADULT,2008,14.498895
CZE-2009,CZE,EDUADULT,2009,15.544437
CZE-2010,CZE,EDUADULT,2010,16.764982
CZE-2011,CZE,EDUADULT,2011,18.243177
CZE-2012,CZE,EDUADULT,2012,19.277992
CZE-2013,CZE,EDUADULT,2013,20.45986
CZE-2014,CZE,EDUADULT,2014,21.51013
CZE-2015,CZE,EDUADULT,2015,22.186741
CZE-2016,CZE,EDUADULT,2016,22.971544
CZE-2017,CZE,EDUADULT,2017,23.927534
CZE-2018,CZE,EDUADULT,2018,24.262077
CZE-2019,CZE,EDUADULT,2019,24.212393
CZE-2020,CZE,EDUADULT,2020,24.853664
CZE-1994,CZE,EDUADULT,1994,72.689072
CZE-1995,CZE,EDUADULT,1995,72.757469
CZE-1997,CZE,EDUADULT,1997,74.349648
CZE-1998,CZE,EDUADULT,1998,74.948509
CZE-1999,CZE,EDUADULT,1999,75.208786
CZE-2000,CZE,EDUADULT,2000,74.978859
CZE-2001,CZE,EDUADULT,2001,75.076736
CZE-2002,CZE,EDUADULT,2002,75.985672
CZE-2003,CZE,EDUADULT,2003,74.413628
CZE-2004,CZE,EDUADULT,2004,76.730721
CZE-2005,CZE,EDUADULT,2005,76.867134
CZE-2006,CZE,EDUADULT,2006,76.757668
CZE-2007,CZE,EDUADULT,2007,76.802109
CZE-2008,CZE,EDUADULT,2008,76.404411
CZE-2009,CZE,EDUADULT,2009,75.858459
CZE-2010,CZE,EDUADULT,2010,75.17765
CZE-2011,CZE,EDUADULT,2011,74.089088
CZE-2012,CZE,EDUADULT,2012,73.172829
CZE-2013,CZE,EDUADULT,2013,72.360344
CZE-2014,CZE,EDUADULT,2014,71.679962
CZE-2015,CZE,EDUADULT,2015,70.972054
CZE-2016,CZE,EDUADULT,2016,70.455254
CZE-2017,CZE,EDUADULT,2017,69.86615
CZE-2018,CZE,EDUADULT,2018,69.598511
CZE-2019,CZE,EDUADULT,2019,69.540031
CZE-2020,CZE,EDUADULT,2020,69.199448
DNK-1991,DNK,EDUADULT,1991,38.506348
DNK-1992,DNK,EDUADULT,1992,41.092419
DNK-1994,DNK,EDUADULT,1994,40.017136
DNK-1995,DNK,EDUADULT,1995,34.520378
DNK-1998,DNK,EDUADULT,1998,21.488886
DNK-1999,DNK,EDUADULT,1999,20.368582
DNK-2000,DNK,EDUADULT,2000,20.218884
DNK-2001,DNK,EDUADULT,2001,19.33378
DNK-2002,DNK,EDUADULT,2002,18.908283
DNK-2003,DNK,EDUADULT,2003,19.446814
DNK-2004,DNK,EDUADULT,2004,18.778183
DNK-2005,DNK,EDUADULT,2005,18.983217
DNK-2006,DNK,EDUADULT,2006,18.359888
DNK-2007,DNK,EDUADULT,2007,25.721992
DNK-2008,DNK,EDUADULT,2008,24.899332
DNK-2009,DNK,EDUADULT,2009,24.137625
DNK-2010,DNK,EDUADULT,2010,23.289925
DNK-2011,DNK,EDUADULT,2011,22.021439
DNK-2012,DNK,EDUADULT,2012,21.165937
DNK-2013,DNK,EDUADULT,2013,20.812916
DNK-2014,DNK,EDUADULT,2014,21.054119
DNK-2015,DNK,EDUADULT,2015,20.280628
DNK-2016,DNK,EDUADULT,2016,19.726067
DNK-2017,DNK,EDUADULT,2017,19.052462
DNK-2018,DNK,EDUADULT,2018,18.940752
DNK-2019,DNK,EDUADULT,2019,18.410515
DNK-2020,DNK,EDUADULT,2020,18.64369
DNK-1991,DNK,EDUADULT,1991,18.318893
DNK-1992,DNK,EDUADULT,1992,19.203054
DNK-1994,DNK,EDUADULT,1994,19.617189
DNK-1995,DNK,EDUADULT,1995,21.589775
DNK-1998,DNK,EDUADULT,1998,25.355267
DNK-1999,DNK,EDUADULT,1999,26.50436
DNK-2000,DNK,EDUADULT,2000,25.777601
DNK-2001,DNK,EDUADULT,2001,28.41186
DNK-2002,DNK,EDUADULT,2002,29.61084
DNK-2003,DNK,EDUADULT,2003,31.847263
DNK-2004,DNK,EDUADULT,2004,32.848095
DNK-2005,DNK,EDUADULT,2005,33.544121
DNK-2006,DNK,EDUADULT,2006,34.719662
DNK-2007,DNK,EDUADULT,2007,30.903458
DNK-2008,DNK,EDUADULT,2008,31.126369
DNK-2009,DNK,EDUADULT,2009,32.001427
DNK-2010,DNK,EDUADULT,2010,33.002644
DNK-2011,DNK,EDUADULT,2011,33.662952
DNK-2012,DNK,EDUADULT,2012,34.639698
DNK-2013,DNK,EDUADULT,2013,35.204632
DNK-2014,DNK,EDUADULT,2014,35.667145
DNK-2015,DNK,EDUADULT,2015,36.565422
DNK-2016,DNK,EDUADULT,2016,37.766045
DNK-2017,DNK,EDUADULT,2017,38.889214
DNK-2018,DNK,EDUADULT,2018,39.44791
DNK-2019,DNK,EDUADULT,2019,40.353836
DNK-2020,DNK,EDUADULT,2020,39.326214
DNK-1991,DNK,EDUADULT,1991,43.174759
DNK-1992,DNK,EDUADULT,1992,39.704525
DNK-1994,DNK,EDUADULT,1994,40.365673
DNK-1995,DNK,EDUADULT,1995,43.889847
DNK-1998,DNK,EDUADULT,1998,53.155849
DNK-1999,DNK,EDUADULT,1999,53.12706
DNK-2000,DNK,EDUADULT,2000,54.003513
DNK-2001,DNK,EDUADULT,2001,52.25436
DNK-2002,DNK,EDUADULT,2002,51.480877
DNK-2003,DNK,EDUADULT,2003,48.705925
DNK-2004,DNK,EDUADULT,2004,48.373722
DNK-2005,DNK,EDUADULT,2005,47.472664
DNK-2006,DNK,EDUADULT,2006,46.920448
DNK-2007,DNK,EDUADULT,2007,43.37455
DNK-2008,DNK,EDUADULT,2008,43.974297
DNK-2009,DNK,EDUADULT,2009,43.86095
DNK-2010,DNK,EDUADULT,2010,43.707432
DNK-2011,DNK,EDUADULT,2011,44.315609
DNK-2012,DNK,EDUADULT,2012,44.194366
DNK-2013,DNK,EDUADULT,2013,43.982452
DNK-2014,DNK,EDUADULT,2014,43.278736
DNK-2015,DNK,EDUADULT,2015,43.15395
DNK-2016,DNK,EDUADULT,2016,42.507889
DNK-2017,DNK,EDUADULT,2017,42.058323
DNK-2018,DNK,EDUADULT,2018,41.61134
DNK-2019,DNK,EDUADULT,2019,41.235649
DNK-2020,DNK,EDUADULT,2020,42.030094
FIN-2000,FIN,EDUADULT,2000,26.837576
FIN-2003,FIN,EDUADULT,2003,23.959745
FIN-2004,FIN,EDUADULT,2004,22.375042
FIN-2005,FIN,EDUADULT,2005,21.212481
FIN-2006,FIN,EDUADULT,2006,20.363401
FIN-2007,FIN,EDUADULT,2007,19.490316
FIN-2008,FIN,EDUADULT,2008,18.926767
FIN-2009,FIN,EDUADULT,2009,18.026873
FIN-2010,FIN,EDUADULT,2010,17.01717
FIN-2011,FIN,EDUADULT,2011,16.27569
FIN-2012,FIN,EDUADULT,2012,15.202716
FIN-2013,FIN,EDUADULT,2013,14.109433
FIN-2014,FIN,EDUADULT,2014,13.493114
FIN-2015,FIN,EDUADULT,2015,12.847135
FIN-2016,FIN,EDUADULT,2016,12.091855
FIN-2017,FIN,EDUADULT,2017,11.896179
FIN-2018,FIN,EDUADULT,2018,10.926194
FIN-2019,FIN,EDUADULT,2019,9.7360916
FIN-2020,FIN,EDUADULT,2020,8.7888527
FIN-2000,FIN,EDUADULT,2000,32.614372
FIN-2003,FIN,EDUADULT,2003,33.177582
FIN-2004,FIN,EDUADULT,2004,34.184566
FIN-2005,FIN,EDUADULT,2005,34.629433
FIN-2006,FIN,EDUADULT,2006,35.141739
FIN-2007,FIN,EDUADULT,2007,36.357056
FIN-2008,FIN,EDUADULT,2008,36.583557
FIN-2009,FIN,EDUADULT,2009,37.268574
FIN-2010,FIN,EDUADULT,2010,38.146343
FIN-2011,FIN,EDUADULT,2011,39.318207
FIN-2012,FIN,EDUADULT,2012,39.661289
FIN-2013,FIN,EDUADULT,2013,40.545231
FIN-2014,FIN,EDUADULT,2014,41.776676
FIN-2015,FIN,EDUADULT,2015,42.742619
FIN-2016,FIN,EDUADULT,2016,43.595264
FIN-2017,FIN,EDUADULT,2017,44.304253
FIN-2018,FIN,EDUADULT,2018,45.188133
FIN-2019,FIN,EDUADULT,2019,45.93438
FIN-2020,FIN,EDUADULT,2020,47.874241
FIN-2000,FIN,EDUADULT,2000,40.54805
FIN-2003,FIN,EDUADULT,2003,42.862675
FIN-2004,FIN,EDUADULT,2004,43.440392
FIN-2005,FIN,EDUADULT,2005,44.158085
FIN-2006,FIN,EDUADULT,2006,44.494862
FIN-2007,FIN,EDUADULT,2007,44.152626
FIN-2008,FIN,EDUADULT,2008,44.489677
FIN-2009,FIN,EDUADULT,2009,44.704552
FIN-2010,FIN,EDUADULT,2010,44.836487
FIN-2011,FIN,EDUADULT,2011,44.406101
FIN-2012,FIN,EDUADULT,2012,45.135994
FIN-2013,FIN,EDUADULT,2013,45.345337
FIN-2014,FIN,EDUADULT,2014,44.730209
FIN-2015,FIN,EDUADULT,2015,44.410244
