LocationTime,LOCATION,INDICATOR,SUBJECT,TIME,Value
CAN-1996,CAN,OVEROBESE,SELFREPORTED,1996,48.0
CAN-1998,CAN,OVEROBESE,SELFREPORTED,1998,50.6
CAN-2001,CAN,OVEROBESE,SELFREPORTED,2001,48.2
CAN-2003,CAN,OVEROBESE,SELFREPORTED,2003,49.4
CAN-2005,CAN,OVEROBESE,SELFREPORTED,2005,48.2
CAN-2007,CAN,OVEROBESE,SELFREPORTED,2007,49.1
CAN-2008,CAN,OVEROBESE,SELFREPORTED,2008,49.5
CAN-2009,CAN,OVEROBESE,SELFREPORTED,2009,50.0
CAN-2010,CAN,OVEROBESE,SELFREPORTED,2010,50.6
CAN-2011,CAN,OVEROBESE,SELFREPORTED,2011,50.5
CAN-2012,CAN,OVEROBESE,SELFREPORTED,2012,50.9
CAN-2013,CAN,OVEROBESE,SELFREPORTED,2013,52.1
CAN-2014,CAN,OVEROBESE,SELFREPORTED,2014,52.5
CAN-2015,CAN,OVEROBESE,SELFREPORTED,2015,52.4
CAN-2016,CAN,OVEROBESE,SELFREPORTED,2016,53.1
CAN-2017,CAN,OVEROBESE,SELFREPORTED,2017,53.8
CAN-2018,CAN,OVEROBESE,SELFREPORTED,2018,53.8
CAN-2019,CAN,OVEROBESE,SELFREPORTED,2019,54.2
CAN-2020,CAN,OVEROBESE,SELFREPORTED,2020,54.4
CZE-1993,CZE,OVEROBESE,SELFREPORTED,1993,47.1
CZE-1996,CZE,OVEROBESE,SELFREPORTED,1996,45.8
CZE-1999,CZE,OVEROBESE,SELFREPORTED,1999,50.2
CZE-2002,CZE,OVEROBESE,SELFREPORTED,2002,51.1
CZE-2008,CZE,OVEROBESE,SELFREPORTED,2008,55.1
CZE-2014,CZE,OVEROBESE,SELFREPORTED,2014,55.4
CZE-2019,CZE,OVEROBESE,SELFREPORTED,2019,58.4
FIN-2000,FIN,OVEROBESE,MEASURED,2000,63.6
FIN-2011,FIN,OVEROBESE,MEASURED,2011,65.0
FIN-2012,FIN,OVEROBESE,MEASURED,2012,58.0
FIN-2017,FIN,OVEROBESE,MEASURED,2017,67.6
FIN-1990,FIN,OVEROBESE,SELFREPORTED,1990,37.7
FIN-1991,FIN,OVEROBESE,SELFREPORTED,1991,38.4
FIN-1992,FIN,OVEROBESE,SELFREPORTED,1992,40.8
FIN-1993,FIN,OVEROBESE,SELFREPORTED,1993,39.1
FIN-1994,FIN,OVEROBESE,SELFREPORTED,1994,41.7
FIN-1995,FIN,OVEROBESE,SELFREPORTED,1995,44.1
FIN-1996,FIN,OVEROBESE,SELFREPORTED,1996,42.4
FIN-1997,FIN,OVEROBESE,SELFREPORTED,1997,42.4
FIN-1998,FIN,OVEROBESE,SELFREPORTED,1998,43.4
FIN-1999,FIN,OVEROBESE,SELFREPORTED,1999,42.5
FIN-2000,FIN,OVEROBESE,SELFREPORTED,2000,43.4
FIN-2001,FIN,OVEROBESE,SELFREPORTED,2001,44.1
FIN-2002,FIN,OVEROBESE,SELFREPORTED,2002,45.3
FIN-2003,FIN,OVEROBESE,SELFREPORTED,2003,45.0
FIN-2004,FIN,OVEROBESE,SELFREPORTED,2004,45.3
FIN-2005,FIN,OVEROBESE,SELFREPORTED,2005,49.2
FIN-2006,FIN,OVEROBESE,SELFREPORTED,2006,47.7
FIN-2007,FIN,OVEROBESE,SELFREPORTED,2007,48.9
FIN-2008,FIN,OVEROBESE,SELFREPORTED,2008,48.8
FIN-2009,FIN,OVEROBESE,SELFREPORTED,2009,49.3
