LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
AUT-2006,15.2,12.5,19.9,25.4,84.0,319.5,47.7,23.2,2.0,1617.0
AUT-2007,15.1,12.5,20.1,25.1,85.3,333.7,,,2.0,1606.0
AUT-2008,14.6,12.0,19.1,26.2,85.3,343.8,,,2.1,1599.0
AUT-2009,14.6,11.8,18.4,26.9,85.1,348.6,,,2.2,1558.0
AUT-2010,14.4,12.1,17.6,27.7,84.9,369.2,,,2.2,1552.0
AUT-2011,14.6,11.9,17.6,28.0,85.4,377.0,,,2.2,1557.0
AUT-2012,14.2,12.1,17.1,28.7,86.0,396.6,,,2.2,1535.0
AUT-2013,14.2,11.9,17.0,29.7,85.7,422.6,,,2.2,1520.0
AUT-2014,14.3,12.2,16.1,29.9,85.3,430.4,46.7,24.3,2.2,1510.0
AUT-2015,13.4,11.2,15.4,30.6,85.4,437.0,,,2.2,1495.0
AUT-2016,12.7,11.4,15.5,31.4,86.2,460.5,,,2.2,1507.0
AUT-2017,12.8,11.3,15.0,32.4,86.4,469.9,,,2.2,1498.0
AUT-2018,12.5,11.3,14.7,32.7,86.3,475.3,,,26.9,1502.0
AUT-2019,11.4,11.6,14.4,33.8,86.5,476.3,51.1,20.6,26.9,1508.6
AUT-2020,10.8,11.3,14.3,34.2,86.0,470.5,,,,1400.7
BEL-1990,19.8,12.2,,,,,,,1.6,1662.9
BEL-1991,18.6,11.4,56.8,19.6,85.1,,,,1.5,1625.8
BEL-1992,19.2,11.7,54.7,20.2,84.9,,,,1.9,1602.7
BEL-1993,21.8,11.7,,,,,,,2.3,1558.6
BEL-1994,21.5,11.1,50.6,22.3,83.7,,,,2.3,1558.6
BEL-1995,21.6,11.0,46.5,24.6,83.7,137.5,,,2.1,1578.0
BEL-1996,20.0,10.9,,,,136.5,,,2.0,1575.0
BEL-1997,21.4,10.9,,,,157.8,41.3,25.5,1.9,1582.0
BEL-1998,20.0,9.9,,,,167.1,,,1.9,1574.0
BEL-1999,18.2,10.1,,,,179.6,,,1.8,1575.0
BEL-2000,20.9,11.2,41.5,27.1,85.3,203.7,,,1.7,1589.0
BEL-2001,21.0,11.0,40.5,27.6,84.5,206.0,44.5,24.1,1.9,1581.0
BEL-2002,20.0,11.3,39.2,28.1,83.7,240.4,,,2.0,1594.0
BEL-2003,20.1,11.3,38.0,29.0,83.6,259.3,,,2.5,1598.0
BEL-2004,18.8,12.1,35.7,30.4,83.9,265.8,44.1,23.7,2.5,1588.0
BEL-2005,19.1,12.2,33.9,31.0,84.2,269.4,,,2.4,1578.0
BEL-2006,18.1,10.9,33.1,31.8,83.6,279.4,,,2.4,1592.0
BEL-2007,17.1,10.3,32.0,32.1,84.9,293.5,,,2.1,1594.0
BEL-2008,18.3,10.5,30.4,32.3,84.7,294.9,47.5,20.5,2.1,1582.0
BEL-2009,18.3,10.1,29.4,33.4,84.2,301.4,,,2.2,1563.0
BEL-2010,18.2,10.3,29.5,35.0,84.0,317.7,,,1.9,1574.0
BEL-2011,18.6,10.1,28.7,34.6,84.2,330.2,,,2.0,1590.0
BEL-2012,17.9,10.1,28.4,35.3,84.6,338.0,,,2.0,1587.0
BEL-2013,16.6,10.3,27.2,35.5,84.1,360.0,48.1,18.9,1.9,1586.0
BEL-2014,16.5,10.6,26.4,36.9,84.7,369.1,51.0,,1.8,1582.0
BEL-2015,16.2,10.4,25.3,36.9,84.6,381.7,,,1.9,1575.0
BEL-2016,16.3,9.4,24.9,37.5,85.2,388.9,,,1.9,1574.0
BEL-2017,14.8,9.3,23.2,40.3,85.2,397.1,,,1.9,1578.0
BEL-2018,15.2,9.2,21.8,40.6,86.1,410.9,55.4,15.4,28.8,1580.0
BGR-1990,17.2,,,,,,,,,
BGR-1991,17.7,,,,,,,,,
BGR-1992,20.2,,,,,,,,,
BGR-1993,18.9,,,,,,,,,
BGR-1994,19.0,,,,,,,,,
BGR-1995,18.4,,,,,,,,,1710.7
BGR-1996,19.9,,,,,,,,,1708.2
BGR-1997,19.0,,,,,,,,,1706.9
BGR-1998,20.2,,,,,,,,,1650.0
BGR-1999,17.0,,,,,,,,,1669.5
BGR-2000,18.0,10.1,,,,,,,,1640.3
BGR-2001,16.9,11.2,,,,,,,,1651.9
BGR-2002,17.1,10.6,,,,,,,,1651.3
BGR-2003,14.3,11.2,,,,95.3,,,,1640.5
BGR-2004,13.0,11.0,,,,102.3,,,,1663.7
BGR-2005,12.6,10.5,,,,109.3,,,,1658.6
BGR-2006,12.5,10.4,,,,121.9,,,,1654.1
BGR-2007,11.4,10.9,,,,129.7,,,,1654.5
BGR-2008,11.9,11.0,,,,142.9,,,,1693.6
BGR-2009,11.0,11.0,,,,152.8,,,,1646.3
