LocationTime,Suicide_val_TOT,Alcohol_val,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val
PER-2009,0.5,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,26.9625,21.14,4.976,25.5255,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2010,1.0,5.2,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,27.303500000000003,20.6885,4.715,25.054,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,27.0,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2011,1.8,5.2,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,26.7475,21.082,4.533,25.519,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2012,2.3,5.4,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,27.576,20.3535,4.74,24.794,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2013,1.2,5.3,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,29.347,18.3795,4.76,23.033,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2014,1.4,5.5,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,31.281,16.566,4.979,21.2085,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2015,0.9,5.7,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,31.97,15.711,4.98,20.520000000000003,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,18.9,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2016,1.4,5.6,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,32.3745,15.3965,4.973,20.1115,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2017,1.3,5.8,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,32.622,15.0245,4.918,19.837,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
PER-2018,1.7,5.7,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,32.3535,15.469,5.198,20.2455,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,15.4,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
