LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Pov_Val,Smoking_Val,Soc_Spend_Val,Soc_Sup_Val,Work_Hour_Val
AUT-2019,11.4,11.6,14.4,33.8,4354.7,476.3,51.1,0.1,18.2,26.9,93.1,1508.6
AUT-2020,10.8,11.3,14.3,34.2,4296.8,470.5,,0.1,17.5,,93.1,1400.7
BEL-1990,19.8,12.2,14.7,24.8,3726,,46.5,0.1,16.2,1.6,91.7,1662.9
BEL-1991,18.6,11.4,56.8,19.6,3735,,33.9,0.1,16.3,1.5,85.8,1625.8
BEL-1992,19.2,11.7,54.7,20.2,3723.7,,41.5,0.1,15.7,1.9,85.8,1602.7
BEL-1993,21.8,11.7,41.5,32.4,3698,,39.2,0.1,16.1,2.3,85.8,1558.6
BEL-1994,21.5,11.1,50.6,22.3,3687,,33.9,0.1,14.9,2.3,85.8,1558.6
BEL-1995,21.6,11,46.5,24.6,3715,137.5,41.5,0.2,14,2.1,85.8,1578
BEL-1996,20,10.9,33.9,25.4,3738.1,136.5,40.5,0.2,13.1,2,94.2,1575
BEL-1997,21.4,10.9,41.5,32.4,3762.2,157.8,39.2,0.2,12.5,1.9,85.8,1582
BEL-1998,20,9.9,39.2,,3810.4,167.1,38,0.2,12,1.9,85.8,1574
BEL-1999,18.2,10.1,33.9,32.4,4007,179.6,35.7,0.2,11.3,1.8,96.1,1575
BEL-2000,20.9,11.2,41.5,32.4,4092.7,203.7,33.9,0.3,10.3,1.7,92,1589
BEL-2001,21,11,40.5,27.6,4055.6,206,33.1,0.2,24.1,1.9,92.8,1581
BEL-2002,20,11.3,39.2,28.1,4069.8,240.4,32,0.2,,2,91.2,1594
BEL-2003,20.1,11.3,38,29,4070.4,259.3,30.4,0.2,16.2,2.5,92.6,1598
BEL-2004,18.8,12.1,35.7,30.4,4139,265.8,29.4,0.2,16.3,2.5,92.6,1588
BEL-2005,19.1,12.2,33.9,31,4235.4,269.4,29.5,0.2,15.7,2.4,92.6,1578
BEL-2006,18.1,10.9,33.1,31.8,4264,279.4,28.7,0.2,16.1,2.4,92.6,1592
BEL-2007,17.1,10.3,32,32.1,4379.7,293.5,28.4,,14.9,2.1,92.6,1594
BEL-2008,18.3,10.5,30.4,32.3,4445.9,294.9,27.2,,14,2.1,92.6,1582
BEL-2009,18.3,10.1,29.4,33.4,4420.7,301.4,26.4,,13.1,2.2,92.6,1563
BEL-2010,18.2,10.3,29.5,35,4488.7,317.7,25.3,0.2,12.5,1.9,92.6,1574
BEL-2011,18.6,10.1,28.7,34.6,4509.3,330.2,,0.2,12,2,92.6,1590
BEL-2012,17.9,10.1,28.4,35.3,4523.9,338,,0.2,11.3,2,92.6,1587
BEL-2013,16.6,10.3,27.2,35.5,4530.3,360,48.1,0.2,18.9,1.9,92.6,1586
BEL-2014,16.5,10.6,26.4,36.9,4543.6,369.1,51,0.2,15.7,1.8,,1582
BEL-2015,16.2,10.4,25.3,36.9,4551.6,381.7,,0.2,16.1,1.9,92,1575
BEL-2016,16.3,9.4,24.9,37.5,4586.4,388.9,,0.3,14.9,1.9,92.8,1574
BEL-2017,14.8,9.3,23.2,40.3,4637.8,397.1,,0.2,14,1.9,91.2,1578
BEL-2018,15.2,9.2,21.8,40.6,4755.2,410.9,55.4,0.2,13.1,28.8,92.6,1580
BGR-1990,17.2,6.8,39.2,,9396.5,196.9,,0.2,,,92.6,
BGR-1991,17.7,9.4,33.9,,9558.4,202.7,61.8,0.2,12.4,2,95,
BGR-1992,20.2,7.8,41.5,37.5,10124.2,206.9,59.4,0.2,11.5,1.9,93.7,
BGR-1993,18.9,7.9,40.5,40.3,10434.3,221.8,45.8,0.2,11.2,1.9,95.8,
BGR-1994,19,9.8,39.2,40.6,10731.2,229,52.3,,11.2,1.8,95.8,
BGR-1995,18.4,8.4,38,,10805.6,240.6,51.2,,12.3,1.7,95.8,1710.7
BGR-1996,19.9,8.6,35.7,,11022.2,256.1,49.8,0.2,14.3,1.9,95.8,1708.2
BGR-1997,19,7.9,33.9,,11213.8,276,54.2,0.2,16.8,2,95.8,1706.9
BGR-1998,20.2,9.2,33.1,24.8,11350.8,293.7,51.3,0.2,,2.5,95.8,1650
BGR-1999,17,9.9,32,19.6,11456.7,302.8,52.8,0.2,13.4,2.5,95.8,1669.5
BGR-2000,18,10.1,30.4,20.2,11540.2,324.4,51.6,0.2,12.1,2.4,,1640.3
BGR-2001,16.9,11.2,29.4,32.4,11766.3,341.7,49.9,0.2,11.3,2.4,97,1651.9
BGR-2002,17.1,10.6,28.8,22.3,11972.9,366.4,50.1,0.3,10.8,2.1,94.9,1651.3
BGR-2003,14.3,11.2,31.2,24.6,12250.5,387.1,51.2,0.2,10.4,2.1,95,1640.5
BGR-2004,13,11,33,25.4,12579.6,102.3,50.2,0.2,10.2,2.2,93.7,1663.7
BGR-2005,12.6,10.5,29,32.4,12868,109.3,48.5,0.2,10.1,1.9,95.8,1658.6
BGR-2006,12.5,10.4,28,,12663.5,121.9,47,0.2,9.3,2,95.8,1654.1
BGR-2007,11.4,10.9,25,32.4,3412,129.7,45.8,0.2,9.8,2.7,95.8,1654.5
BGR-2008,11.9,11,23.7,32.4,,142.9,44.8,0.2,28.2,2.7,95.8,1693.6
BGR-2009,11,11,23.1,27.6,,152.8,43.4,,25.9,2.7,95.8,1646.3
BGR-2010,10.9,9.8,19.9,28.1,18964.4,169.4,42.8,0.2,,2.7,95.8,1644.8
BGR-2011,9.8,9.9,20.1,29,19500.1,189.4,41.4,0.2,,2.5,95.8,1643.6
BGR-2012,11.1,10.9,19.1,30.4,19865.4,222.7,40.6,0.2,25.5,2.6,95.8,1644.4
BGR-2013,9.2,10.3,18.4,31,20383,193.9,41.2,0.3,,2.9,95.8,1645
BGR-2014,9.2,10.3,17.6,31.8,21070.6,209.8,,0.2,24.5,3.2,,1644.1
BGR-2015,8.7,10.9,17.6,32.1,21232.7,225.8,,0.2,,3,,1644.4
BGR-2016,8.6,11.1,17.1,32.3,21979.9,253.8,49.8,0.2,23.8,3.1,,1643.5
BGR-2017,8.9,10.9,17,33.4,22432.9,261.9,54.2,0.2,,3.2,,1643.3
BGR-2018,8.3,11.5,16.1,35,22921.6,255.6,51.3,0.2,,4.1,,1644.6
BGR-2019,7.4,11.2,38,34.6,,250,52.8,0.2,22.4,,,1645.2
BRA-1990,4.8,5.3,35.7,35.3,12730.9,32,51.6,,,,97,
BRA-1991,5.1,5.5,33.9,35.5,12792.8,31.3,49.9,0.2,18.7,,94.9,
BRA-1992,4.9,5.3,33.1,9.6,13058.7,30.9,50.1,0.2,,,95,
BRA-1993,4.9,4.9,32,10.8,13295.4,31,51.2,0.2,17.3,,93.7,
BRA-1994,5.1,5.2,30.4,10.9,13420.1,31.5,50.2,0.2,,1.2,95.8,
BRA-1995,5.5,5.9,29.4,,13708.2,30.9,48.5,0.2,18.2,1.3,95.8,1854
BRA-1996,5.6,6,28.8,11.6,14047,31.1,47,0.2,17.5,1.3,95.8,1845.6
BRA-1997,5.5,5.9,31.2,13,14402,30.4,41.5,,16.2,1.3,95.8,1855.7
BRA-1998,5.5,5.7,33,13.7,14760.1,30.3,39.2,0.2,16.3,1.5,95.8,1874.2
BRA-1999,4.9,5.9,29,14.3,14932.3,29.7,33.9,0.2,15.7,2.7,95.8,1870.3
BRA-2000,5.1,7.3,28,14.8,15291.3,238,41.5,0.2,16.1,2.8,95.8,1861.5
BRA-2001,5.5,7.2,25,16.9,15660.8,32,40.5,0.3,14.9,2.7,94.9,1860.8
BRA-2002,5.3,7,23.7,17.1,15915,31.3,39.2,0.2,14,2.7,,1849.9
BRA-2003,5.2,6.8,23.1,18.4,18416.3,30.9,38,0.2,13.1,2.7,,1856.1
BRA-2004,5.3,6.7,30.8,18.7,18964.4,31,35.7,0.2,12.5,2.7,,1852.2
BRA-2005,5.6,6.8,48.5,,19500.1,31.5,33.9,0.2,12,2.5,,1828.7
BRA-2006,5.4,6.9,58.9,,19865.4,30.9,33.1,0.3,11.3,2.6,88,1818
BRA-2007,5.5,6.9,63.2,9.6,20383,31.1,32,0.3,10.3,2.9,88.1,1806.5
BRA-2008,5.6,6.8,61.2,10.8,21070.6,30.4,30.4,0.3,24.1,3.2,87.2,1811.4
BRA-2009,5.6,7,59.3,10.9,21232.7,30.3,29.4,0.3,14.3,3,90.7,1802.4
BRA-2010,5.6,7.2,,,21979.9,29.7,29.5,0.3,14.1,3.1,85.3,1803.1
