LocationTime,LOCATION,TIME,Healthy_Spend_Val
DNK-1993,DNK,1993,103.70966666666668
DNK-1994,DNK,1994,110.60866666666665
DNK-1995,DNK,1995,109.21433333333334
DNK-1996,DNK,1996,115.988
DNK-1997,DNK,1997,122.01766666666667
DNK-1998,DNK,1998,127.96233333333333
DNK-1999,DNK,1999,128.494
DNK-2000,DNK,2000,138.17166666666665
DNK-2001,DNK,2001,142.75333333333333
DNK-2002,DNK,2002,152.24533333333332
DNK-2003,DNK,2003,151.89166666666668
DNK-2004,DNK,2004,166.13533333333334
DNK-2005,DNK,2005,169.28266666666664
DNK-2006,DNK,2006,182.71733333333336
DNK-2007,DNK,2007,199.43266666666668
DNK-2008,DNK,2008,207.061
DNK-2009,DNK,2009,213.78666666666666
DNK-2010,DNK,2010,229.86666666666667
DNK-2011,DNK,2011,234.778
DNK-2012,DNK,2012,236.78933333333336
DNK-2013,DNK,2013,240.12033333333332
DNK-2014,DNK,2014,244.11966666666663
DNK-2015,DNK,2015,253.86066666666667
DNK-2016,DNK,2016,264.2293333333334
DNK-2017,DNK,2017,279.31666666666666
DNK-2018,DNK,2018,293.41366666666664
DNK-2019,DNK,2019,297.02566666666667
DNK-2020,DNK,2020,292.96733333333333
ESP-1990,ESP,1990,66.908
ESP-1991,ESP,1991,76.71466666666666
ESP-1992,ESP,1992,82.94133333333333
ESP-1993,ESP,1993,89.85866666666665
ESP-1994,ESP,1994,94.57633333333332
ESP-1995,ESP,1995,114.972
ESP-1996,ESP,1996,119.31466666666667
ESP-1997,ESP,1997,124.01299999999999
ESP-1998,ESP,1998,131.93033333333332
ESP-1999,ESP,1999,139.08533333333335
ESP-2000,ESP,2000,155.70533333333333
ESP-2001,ESP,2001,168.25766666666667
ESP-2002,ESP,2002,184.40499999999997
ESP-2003,ESP,2003,204.45033333333333
ESP-2004,ESP,2004,213.03666666666666
ESP-2005,ESP,2005,219.99033333333333
ESP-2006,ESP,2006,232.69433333333333
ESP-2007,ESP,2007,239.36033333333333
ESP-2008,ESP,2008,247.59633333333332
ESP-2009,ESP,2009,237.0283333333333
ESP-2010,ESP,2010,242.4863333333333
ESP-2011,ESP,2011,251.29366666666667
ESP-2012,ESP,2012,263.79200000000003
ESP-2013,ESP,2013,277.67966666666666
ESP-2014,ESP,2014,294.066
ESP-2015,ESP,2015,299.14466666666664
ESP-2016,ESP,2016,308.89833333333337
ESP-2017,ESP,2017,336.8823333333333
ESP-2018,ESP,2018,350.9883333333333
ESP-2019,ESP,2019,355.7730000000001
ESP-2020,ESP,2020,341.24533333333335
EST-1999,EST,1999,39.830999999999996
EST-2000,EST,2000,49.72366666666667
EST-2001,EST,2001,46.88433333333333
EST-2002,EST,2002,56.984333333333325
EST-2003,EST,2003,62.65033333333334
EST-2004,EST,2004,76.90933333333332
EST-2005,EST,2005,83.51433333333334
EST-2006,EST,2006,85.10799999999999
EST-2007,EST,2007,99.754
EST-2008,EST,2008,107.22566666666665
EST-2009,EST,2009,104.315
EST-2010,EST,2010,115.978
EST-2011,EST,2011,117.01733333333333
EST-2012,EST,2012,125.95966666666668
EST-2013,EST,2013,141.555
EST-2014,EST,2014,161.57633333333334
EST-2015,EST,2015,172.65599999999998
EST-2016,EST,2016,186.19366666666667
EST-2017,EST,2017,203.31666666666663
EST-2018,EST,2018,216.812
EST-2019,EST,2019,217.788
EST-2020,EST,2020,216.04766666666663
FIN-1990,FIN,1990,91.26133333333333
