LocationTime,LOCATION,TIME,Work_Hour_Val
CZE-2017,CZE,2017,1776.44770281944
CZE-2018,CZE,2018,1784.66636269155
CZE-2019,CZE,2019,1786.03344465839
CZE-2020,CZE,2020,1703.59653546415
DEU-1991,DEU,1991,1554.1
DEU-1992,DEU,1992,1565.1
DEU-1993,DEU,1993,1540.2
DEU-1994,DEU,1994,1536.6
DEU-1995,DEU,1995,1530.6
DEU-1996,DEU,1996,1516.8
DEU-1997,DEU,1997,1507.7
DEU-1998,DEU,1998,1504.5
DEU-1999,DEU,1999,1491.5
DEU-2000,DEU,2000,1465.9
DEU-2001,DEU,2001,1458.2
DEU-2002,DEU,2002,1448.9
DEU-2003,DEU,2003,1443.4
DEU-2004,DEU,2004,1442.6
DEU-2005,DEU,2005,1432.4
DEU-2006,DEU,2006,1453.2
DEU-2007,DEU,2007,1454.1
DEU-2008,DEU,2008,1447.3
DEU-2009,DEU,2009,1405.0
DEU-2010,DEU,2010,1425.7
DEU-2011,DEU,2011,1426.9
DEU-2012,DEU,2012,1408.0
DEU-2013,DEU,2013,1396.5
DEU-2014,DEU,2014,1400.4
DEU-2015,DEU,2015,1401.0
DEU-2016,DEU,2016,1395.6
DEU-2017,DEU,2017,1389.1
DEU-2018,DEU,2018,1384.7
DEU-2019,DEU,2019,1381.5
DEU-2020,DEU,2020,1324.2
DNK-1990,DNK,1990,1440.50248947927
DNK-1991,DNK,1991,1437.31404792345
DNK-1992,DNK,1992,1452.36491356625
DNK-1993,DNK,1993,1448.92145291905
DNK-1994,DNK,1994,1406.66132217899
DNK-1995,DNK,1995,1419.14450819252
DNK-1996,DNK,1996,1412.26451106893
DNK-1997,DNK,1997,1428.09212481982
DNK-1998,DNK,1998,1441.13338517464
DNK-1999,DNK,1999,1456.49778829583
DNK-2000,DNK,2000,1465.93777686797
DNK-2001,DNK,2001,1468.67552713
DNK-2002,DNK,2002,1462.58458444077
DNK-2003,DNK,2003,1457.82742519628
DNK-2004,DNK,2004,1458.07394850068
DNK-2005,DNK,2005,1451.36235283381
DNK-2006,DNK,2006,1455.70334128971
DNK-2007,DNK,2007,1432.76976799283
