LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
NLD-2017,10.8,8.3,21.6,37.2,88.8,327.4,42.6,16.8,13.5,1436.8
NLD-2018,10.2,8.3,21.0,38.3,89.6,333.6,34.3,15.5,16.2,1436.1
NLD-2019,10.0,8.2,20.4,40.4,89.7,332.6,24.8,15.4,16.1,1438.5
NLD-2020,10.0,7.2,19.0,42.6,89.5,316.5,25.3,14.4,3.7,1406.9
NOR-1990,16.0,5.0,29.8,28.9,84.0,84.2,34.3,35.0,1.9,1492.8
NOR-1991,16.5,4.9,20.9,24.8,90.0,84.7,27.4,34.0,1.9,1490.2
NOR-1992,14.7,4.7,21.0,25.3,88.9,85.7,28.6,35.0,1.8,1499.6
NOR-1993,13.9,4.6,29.8,28.9,84.0,89.4,30.2,37.0,1.7,1496.8
NOR-1994,12.6,4.7,19.3,27.4,88.2,92.5,30.8,33.0,1.7,1494.9
NOR-1995,12.9,4.8,18.8,28.6,88.9,101.0,32.2,33.0,1.7,1478.3
NOR-1996,12.0,5.0,19.3,30.2,87.7,110.5,32.8,33.0,1.9,1473.6
NOR-1997,12.6,5.3,19.4,30.8,88.2,148.8,32.4,34.0,1.8,1468.4
NOR-1998,12.7,5.2,18.1,32.2,88.4,154.0,32.0,33.0,2.0,1466.6
NOR-1999,13.5,5.5,17.9,32.8,88.8,161.3,34.4,32.0,2.3,1465.5
NOR-2000,12.4,5.7,17.6,32.4,89.6,177.2,33.9,32.0,2.0,1448.1
NOR-2001,12.6,5.5,18.1,32.0,89.7,174.7,34.4,30.0,2.1,1424.0
NOR-2002,11.2,5.9,17.6,34.4,84.0,199.6,42.0,29.0,2.4,1411.8
NOR-2003,11.3,6.0,17.8,33.9,84.0,199.6,30.8,26.0,2.6,1401.0
NOR-2004,11.9,6.2,29.8,34.4,84.0,213.1,32.2,26.0,2.3,1423.1
NOR-2005,11.7,6.4,22.8,35.3,88.8,217.5,32.8,25.0,2.0,1428.5
NOR-2006,11.7,6.5,21.1,36.0,89.1,226.2,32.4,24.0,2.0,1426.4
NOR-2007,10.6,6.6,21.1,37.2,90.4,240.1,32.0,22.0,2.0,1438.3
NOR-2008,10.7,6.8,19.3,38.3,90.5,248.4,46.0,21.0,1.9,1443.0
NOR-2009,12.1,6.7,19.3,36.7,90.2,247.4,34.3,21.0,2.3,1421.8
NOR-2010,11.4,6.6,19.4,37.3,90.4,248.7,34.3,19.0,2.0,1429.8
NOR-2011,12.2,6.4,18.1,38.1,90.5,263.5,34.3,17.0,2.2,1434.7
NOR-2012,10.4,6.2,17.9,38.6,90.3,270.3,46.0,16.0,2.1,1431.1
NOR-2013,11.0,6.2,17.6,39.8,89.5,279.3,24.1,15.0,2.2,1421.3
NOR-2014,10.8,6.1,18.1,41.8,89.9,285.2,23.6,13.0,2.4,1424.1
NOR-2015,11.4,6.0,17.6,42.7,89.2,281.8,22.9,13.0,2.5,1426.6
NOR-2016,11.8,6.0,17.8,43.0,88.8,293.1,21.6,12.0,2.7,1430.0
NZL-1990,14.1,10.3,43.4,28.9,78.1,66.2,21.0,28.0,0.2,1809.0
NZL-1991,13.8,9.9,44.4,24.8,80.1,69.6,20.4,26.0,0.3,1792.0
NZL-1992,14.6,9.8,43.6,25.3,81.2,85.9,19.0,27.0,0.4,1799.0
NZL-1993,12.6,9.3,29.8,28.9,84.0,99.6,34.3,27.0,0.4,1853.0
NZL-1994,14.8,9.5,42.7,27.4,82.7,101.4,20.9,27.0,0.4,1848.0
NZL-1995,15.2,9.3,40.9,28.6,81.5,107.6,21.0,27.0,0.5,1841.0
NZL-1996,14.7,8.8,29.8,30.2,84.0,112.6,34.3,26.0,0.5,1834.0
NZL-1997,15.1,8.7,39.6,30.8,82.4,115.5,19.3,26.0,0.5,1826.0
NZL-1998,15.5,8.7,38.6,32.2,81.5,123.0,18.8,25.0,0.5,1829.0
NZL-1999,13.7,8.9,38.0,32.8,81.9,125.6,19.3,26.0,0.5,1845.0
NZL-2000,12.3,8.9,36.8,32.4,82.2,129.5,19.4,25.0,0.5,1836.0
NZL-2001,13.5,8.7,35.5,32.0,83.6,149.9,18.1,25.0,0.5,1825.0
NZL-2002,12.3,9.1,34.4,34.4,83.0,149.5,17.9,25.0,0.5,1826.0
NZL-2003,13.3,8.9,33.1,33.9,82.7,146.2,17.6,23.0,0.4,1823.0
NZL-2004,12.4,9.1,32.9,34.4,83.4,148.4,18.1,22.0,0.5,1830.0
NZL-2005,12.7,9.3,31.6,28.9,84.1,156.0,17.6,22.5,0.5,1815.0
NZL-2006,12.7,9.3,31.1,28.9,84.5,169.3,17.8,20.7,0.5,1795.0
NZL-2007,11.9,9.2,28.9,38.3,83.7,155.5,34.3,18.1,0.5,1774.0
NZL-2008,12.4,9.5,27.9,36.7,84.5,187.5,22.8,20.4,0.5,1761.0
NZL-2009,12.0,9.3,27.8,37.3,84.0,193.0,21.1,20.4,0.6,1740.0
NZL-2010,12.4,9.6,27.0,38.1,83.8,197.8,21.1,20.4,0.7,1755.0
NZL-2011,11.2,9.5,25.9,38.6,84.4,206.6,19.3,20.4,0.7,1746.0
NZL-2012,12.4,9.2,25.9,39.8,83.9,217.7,19.3,16.4,0.7,1734.0
NZL-2013,11.8,9.2,28.6,28.9,85.8,232.6,19.4,15.8,0.7,1756.0
NZL-2014,11.5,9.1,25.9,35.6,87.2,245.2,18.1,15.9,0.7,1758.0
NZL-2015,11.8,8.7,25.3,34.0,87.5,252.8,17.9,15.1,0.7,1753.0
NZL-2016,12.1,8.9,23.4,36.3,87.3,273.4,17.6,14.5,0.7,1754.0
PER-1990,0.7,4.3,29.8,28.9,82.2,212.2,18.1,20.4,3.7,1761.3
PER-1991,0.4,4.6,38.6,24.8,83.6,212.2,34.3,27.0,3.7,1761.3
PER-1992,1.3,3.9,38.0,25.3,83.0,212.2,34.3,26.0,3.7,1761.3
PER-1994,1.8,6.1,36.8,28.9,82.7,212.2,46.0,26.0,2.4,1401.0
PER-1995,2.0,5.8,35.5,27.4,83.4,212.2,24.1,25.0,2.6,1423.1
PER-1996,2.0,5.4,34.4,28.6,84.1,212.2,23.6,26.0,2.3,1428.5
