LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
AUT-2016,AUT,SOCEXP,2016,27.718
AUT-2017,AUT,SOCEXP,2017,27.263
AUT-2018,AUT,SOCEXP,2018,26.914
AUT-2019,AUT,SOCEXP,2019,26.945
AUT-1995,AUT,SOCEXP,1995,21.487
AUT-1997,AUT,SOCEXP,1997,20.845
AUT-1999,AUT,SOCEXP,1999,20.915
AUT-2001,AUT,SOCEXP,2001,20.59
AUT-2003,AUT,SOCEXP,2003,21.403
AUT-2005,AUT,SOCEXP,2005,21.073
AUT-2007,AUT,SOCEXP,2007,20.55
AUT-2009,AUT,SOCEXP,2009,22.674
AUT-2011,AUT,SOCEXP,2011,22.054
AUT-2013,AUT,SOCEXP,2013,22.454
AUT-2015,AUT,SOCEXP,2015,22.57
AUT-2017,AUT,SOCEXP,2017,22.531
AUT-1995,AUT,SOCEXP,1995,22.992
AUT-1997,AUT,SOCEXP,1997,22.257
AUT-1999,AUT,SOCEXP,1999,22.338
AUT-2001,AUT,SOCEXP,2001,22.076
AUT-2003,AUT,SOCEXP,2003,22.9
AUT-2005,AUT,SOCEXP,2005,22.559
AUT-2007,AUT,SOCEXP,2007,22.092
AUT-2009,AUT,SOCEXP,2009,24.402
AUT-2011,AUT,SOCEXP,2011,23.643
AUT-2013,AUT,SOCEXP,2013,24.175
AUT-2015,AUT,SOCEXP,2015,24.3
AUT-2017,AUT,SOCEXP,2017,24.26
AUT-1990,AUT,SOCEXP,1990,8187.938
AUT-1991,AUT,SOCEXP,1991,8502.015
AUT-1992,AUT,SOCEXP,1992,8836.443
AUT-1993,AUT,SOCEXP,1993,9289.024
AUT-1994,AUT,SOCEXP,1994,9793.055
AUT-1995,AUT,SOCEXP,1995,10020.406
AUT-1996,AUT,SOCEXP,1996,10290.137
AUT-1997,AUT,SOCEXP,1997,10277.127
AUT-1998,AUT,SOCEXP,1998,10542.137
AUT-1999,AUT,SOCEXP,1999,11032.558
AUT-2000,AUT,SOCEXP,2000,11260.88
AUT-2001,AUT,SOCEXP,2001,11387.954
AUT-2002,AUT,SOCEXP,2002,11651.415
