LocationTime,LOCATION,TIME,Social_spt_val
NLD-2017,NLD,2017,89.056122303009
NLD-2018,NLD,2018,89.056122303009
NLD-2019,NLD,2019,89.056122303009
NLD-2020,NLD,2020,89.056122303009
NZL-2010,NZL,2010,94.5410072803497
NZL-2011,NZL,2011,94.5410072803497
NZL-2012,NZL,2012,94.5410072803497
NZL-2013,NZL,2013,94.5410072803497
NZL-2014,NZL,2014,94.5410072803497
NZL-2015,NZL,2015,94.5410072803497
NZL-2016,NZL,2016,94.5410072803497
NZL-2017,NZL,2017,94.5410072803497
NZL-2018,NZL,2018,94.5410072803497
NZL-2019,NZL,2019,94.5410072803497
NZL-2020,NZL,2020,94.5410072803497
NOR-2012,NOR,2012,91.9465065002441
NOR-2014,NOR,2014,91.9465065002441
NOR-2015,NOR,2015,91.9465065002441
NOR-2016,NOR,2016,91.9465065002441
NOR-2017,NOR,2017,91.9465065002441
NOR-2018,NOR,2018,91.9465065002441
NOR-2019,NOR,2019,91.9465065002441
NOR-2020,NOR,2020,91.9465065002441
POL-2010,POL,2010,85.876476764679
POL-2011,POL,2011,85.876476764679
POL-2012,POL,2012,85.876476764679
POL-2013,POL,2013,85.876476764679
POL-2014,POL,2014,85.876476764679
POL-2015,POL,2015,85.876476764679
POL-2016,POL,2016,85.876476764679
POL-2017,POL,2017,85.876476764679
POL-2018,POL,2018,85.876476764679
POL-2019,POL,2019,85.876476764679
POL-2020,POL,2020,85.876476764679
PRT-2010,PRT,2010,81.8280816078186
PRT-2011,PRT,2011,81.8280816078186
PRT-2012,PRT,2012,81.8280816078186
PRT-2013,PRT,2013,81.8280816078186
PRT-2014,PRT,2014,81.8280816078186
PRT-2015,PRT,2015,81.8280816078186
PRT-2016,PRT,2016,81.8280816078186
PRT-2017,PRT,2017,81.8280816078186
PRT-2018,PRT,2018,81.8280816078186
PRT-2019,PRT,2019,81.8280816078186
PRT-2020,PRT,2020,81.8280816078186
SVK-2010,SVK,2010,88.7644529342651
SVK-2011,SVK,2011,88.7644529342651
SVK-2012,SVK,2012,88.7644529342651
SVK-2013,SVK,2013,88.7644529342651
SVK-2014,SVK,2014,88.7644529342651
SVK-2015,SVK,2015,88.7644529342651
SVK-2016,SVK,2016,88.7644529342651
SVK-2017,SVK,2017,88.7644529342651
SVK-2018,SVK,2018,88.7644529342651
SVK-2019,SVK,2019,88.7644529342651
SVK-2020,SVK,2020,88.7644529342651
ESP-2010,ESP,2010,92.0410692691803
ESP-2011,ESP,2011,92.0410692691803
ESP-2012,ESP,2012,92.0410692691803
ESP-2013,ESP,2013,92.0410692691803
ESP-2014,ESP,2014,92.0410692691803
ESP-2015,ESP,2015,92.0410692691803
ESP-2016,ESP,2016,92.0410692691803
ESP-2017,ESP,2017,92.0410692691803
ESP-2018,ESP,2018,92.0410692691803
ESP-2019,ESP,2019,92.0410692691803
ESP-2020,ESP,2020,92.0410692691803
SWE-2010,SWE,2010,89.836061000824
SWE-2011,SWE,2011,89.836061000824
SWE-2012,SWE,2012,89.836061000824
SWE-2013,SWE,2013,89.836061000824
SWE-2014,SWE,2014,89.836061000824
SWE-2015,SWE,2015,89.836061000824
SWE-2016,SWE,2016,89.836061000824
SWE-2017,SWE,2017,89.836061000824
SWE-2018,SWE,2018,89.836061000824
SWE-2019,SWE,2019,89.836061000824
SWE-2020,SWE,2020,89.836061000824
CHE-2012,CHE,2012,92.9487824440002
CHE-2014,CHE,2014,92.9487824440002
CHE-2015,CHE,2015,92.9487824440002
CHE-2016,CHE,2016,92.9487824440002
CHE-2017,CHE,2017,92.9487824440002
CHE-2018,CHE,2018,92.9487824440002
CHE-2019,CHE,2019,92.9487824440002
CHE-2020,CHE,2020,92.9487824440002
TUR-2010,TUR,2010,75.840300321579
TUR-2011,TUR,2011,75.840300321579
TUR-2012,TUR,2012,75.840300321579
TUR-2013,TUR,2013,75.840300321579
TUR-2014,TUR,2014,75.840300321579
TUR-2015,TUR,2015,75.840300321579
TUR-2016,TUR,2016,75.840300321579
TUR-2017,TUR,2017,75.840300321579
TUR-2018,TUR,2018,75.840300321579
TUR-2019,TUR,2019,75.840300321579
TUR-2020,TUR,2020,75.840300321579
GBR-2010,GBR,2010,92.402982711792
GBR-2011,GBR,2011,92.402982711792
GBR-2012,GBR,2012,92.402982711792
GBR-2013,GBR,2013,92.402982711792
GBR-2014,GBR,2014,92.402982711792
GBR-2015,GBR,2015,92.402982711792
GBR-2016,GBR,2016,92.402982711792
GBR-2017,GBR,2017,92.402982711792
GBR-2018,GBR,2018,92.402982711792
GBR-2019,GBR,2019,92.402982711792
GBR-2020,GBR,2020,92.402982711792
USA-2010,USA,2010,91.3204967975616
USA-2011,USA,2011,91.3204967975616
USA-2012,USA,2012,91.3204967975616
USA-2013,USA,2013,91.3204967975616
USA-2014,USA,2014,91.3204967975616
USA-2015,USA,2015,91.3204967975616
USA-2016,USA,2016,91.3204967975616
USA-2017,USA,2017,91.3204967975616
USA-2018,USA,2018,91.3204967975616
USA-2019,USA,2019,91.3204967975616
USA-2020,USA,2020,91.3204967975616
BRA-2010,BRA,2010,85.9829187393188
BRA-2011,BRA,2011,85.9829187393188
BRA-2012,BRA,2012,85.9829187393188
BRA-2013,BRA,2013,85.9829187393188
BRA-2014,BRA,2014,85.9829187393188
BRA-2015,BRA,2015,85.9829187393188
BRA-2016,BRA,2016,85.9829187393188
BRA-2017,BRA,2017,85.9829187393188
BRA-2018,BRA,2018,85.9829187393188
BRA-2019,BRA,2019,85.9829187393188
BRA-2020,BRA,2020,85.9829187393188
CHL-2010,CHL,2010,80.5135309696198
CHL-2011,CHL,2011,80.5135309696198
CHL-2012,CHL,2012,80.5135309696198
CHL-2013,CHL,2013,80.5135309696198
CHL-2014,CHL,2014,80.5135309696198
