LocationTime,LOCATION,TIME,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP
AUS-1990,AUS,1990,1.096,13.141,3928.253,,
AUS-1991,AUS,1991,1.204,14.306,4239.755,,
AUS-1992,AUS,1992,1.236,15.285,4659.895,,
AUS-1993,AUS,1993,1.397,15.545,4884.162,,
AUS-1994,AUS,1994,1.419,15.271,4934.387,,
AUS-1995,AUS,1995,3.295,16.913,5614.113,15.995,19.071
AUS-1996,AUS,1996,3.526,17.028,5805.342,,
AUS-1997,AUS,1997,3.858,16.786,5920.537,15.924,19.517
AUS-1998,AUS,1998,3.538,17.61,6461.523,,
AUS-1999,AUS,1999,4.025,17.239,6502.822,16.492,20.23
AUS-2000,AUS,2000,3.717,18.244,6934.889,,
AUS-2001,AUS,2001,4.01,17.539,6845.28,16.946,20.479
AUS-2002,AUS,2002,3.96,17.348,6893.75,,
AUS-2003,AUS,2003,3.486,17.546,7172.538,16.887,19.933
AUS-2004,AUS,2004,2.743,17.238,7194.949,,
AUS-2005,AUS,2005,2.846,16.694,7075.806,16.275,18.723
AUS-2006,AUS,2006,2.878,15.713,6823.445,,
AUS-2007,AUS,2007,5.18,15.873,7015.665,15.611,20.122
AUS-2008,AUS,2008,4.437,17.051,7529.935,,
AUS-2009,AUS,2009,4.324,16.869,7448.41,16.622,20.378
AUS-2010,AUS,2010,4.336,16.561,7377.086,,
AUS-2011,AUS,2011,4.624,17.015,7767.754,16.805,20.852
AUS-2012,AUS,2012,4.843,17.302,7962.334,,
AUS-2013,AUS,2013,5.42,17.247,7999.652,16.999,21.81
AUS-2014,AUS,2014,5.999,17.78,8302.617,,
AUS-2015,AUS,2015,6.193,18.148,8584.749,18.003,23.496
AUS-2016,AUS,2016,6.361,17.408,8298.928,,
AUS-2017,AUS,2017,6.565,16.71,8063.4,16.624,22.48
AUT-1990,AUT,1990,2.188,23.149,8187.938,,
AUT-1991,AUT,1991,2.179,23.47,8502.015,,
AUT-1992,AUT,1992,2.189,24.158,8836.443,,
AUT-1993,AUT,1993,2.174,25.471,9289.024,,
AUT-1994,AUT,1994,2.114,26.324,9793.055,,
AUT-1995,AUT,1995,2.056,26.276,10020.406,21.487,22.992
AUT-1996,AUT,1996,1.988,26.399,10290.137,,
AUT-1997,AUT,1997,1.951,25.854,10277.127,20.845,22.257
AUT-1998,AUT,1998,1.915,25.632,10542.137,,
AUT-1999,AUT,1999,2.016,25.954,11032.558,20.915,22.338
AUT-2000,AUT,2000,2.103,25.688,11260.88,,
AUT-2001,AUT,2001,2.031,25.751,11387.954,20.59,22.076
AUT-2002,AUT,2002,1.991,26.047,11651.415,,
AUT-2003,AUT,2003,1.996,26.584,11950.259,21.403,22.9
AUT-2004,AUT,2004,1.992,26.329,12083.068,,
AUT-2005,AUT,2005,1.979,25.952,12094.734,21.073,22.559
AUT-2006,AUT,2006,1.976,25.665,12310.184,,
AUT-2007,AUT,2007,2.043,25.086,12440.156,20.55,22.092
AUT-2008,AUT,2008,2.122,25.516,12797.534,,
AUT-2009,AUT,2009,2.21,27.467,13225.518,22.674,24.402
AUT-2010,AUT,2010,2.167,27.563,13484.027,,
AUT-2011,AUT,2011,2.16,26.744,13421.883,22.054,23.643
AUT-2012,AUT,2012,2.157,27.11,13636.438,,
AUT-2013,AUT,2013,2.211,27.517,13761.584,22.454,24.175
AUT-2014,AUT,2014,2.193,27.731,13851.207,,
AUT-2015,AUT,2015,2.227,27.735,13855.019,22.57,24.3
AUT-2016,AUT,2016,2.192,27.718,13931.845,,
AUT-2017,AUT,2017,2.206,27.263,13991.987,22.531,24.26
AUT-2018,AUT,2018,,26.914,,,
AUT-2019,AUT,2019,,26.945,,,
BEL-1990,BEL,1990,1.563,24.57,8152.31,,
BEL-1991,BEL,1991,1.546,25.335,8527.694,,
BEL-1992,BEL,1992,1.922,24.346,8286.208,,
BEL-1993,BEL,1993,2.348,25.4,8528.693,,
BEL-1994,BEL,1994,2.27,24.801,8570.798,,
BEL-1995,BEL,1995,2.083,25.304,8934.611,21.936,23.563
BEL-1996,BEL,1996,2.014,25.935,9260.21,,
BEL-1997,BEL,1997,1.935,24.929,9216.831,21.43,22.923
BEL-1998,BEL,1998,1.88,24.929,9377.167,,
BEL-1999,BEL,1999,1.845,24.73,9610.42,21.307,22.712
BEL-2000,BEL,2000,1.686,23.654,9510.458,,
BEL-2001,BEL,2001,1.899,24.121,9770.68,19.738,21.195
BEL-2002,BEL,2002,2.013,24.502,10049.672,,
BEL-2003,BEL,2003,2.487,25.65,10585.438,21.281,23.301
BEL-2004,BEL,2004,2.477,25.444,10828.741,,
BEL-2005,BEL,2005,2.406,25.311,10961.024,21.071,23.033
BEL-2006,BEL,2006,2.39,25.238,11134.942,,
BEL-2007,BEL,2007,2.136,24.984,11344.214,20.968,22.731
BEL-2008,BEL,2008,2.079,26.466,11976.39,,
BEL-2009,BEL,2009,2.221,28.761,12650.094,24.642,26.469
BEL-2010,BEL,2010,1.933,28.448,12753.099,,
BEL-2011,BEL,2011,2.027,28.893,13002.645,24.844,26.522
BEL-2012,BEL,2012,2.016,28.804,12977.034,,
BEL-2013,BEL,2013,1.858,29.198,13153.542,25.234,26.78
BEL-2014,BEL,2014,1.793,29.105,13258.903,,
BEL-2015,BEL,2015,1.886,29.517,13640.871,25.627,27.194
BEL-2016,BEL,2016,1.907,28.845,13459.599,,
BEL-2017,BEL,2017,1.869,28.718,13602.448,25.046,26.595
BEL-2018,BEL,2018,,28.77,,,
BEL-2019,BEL,2019,,28.902,,,
CAN-1990,CAN,1990,3.398,17.483,5679.156,,
CAN-1991,CAN,1991,3.742,19.714,6241.063,,
CAN-1992,CAN,1992,4.079,20.358,6456.219,,
CAN-1993,CAN,1993,4.28,20.288,6563.265,,
CAN-1994,CAN,1994,4.343,19.196,6390.864,,
CAN-1995,CAN,1995,4.435,18.295,6173.405,17.047,20.292
CAN-1996,CAN,1996,4.605,17.494,5976.587,,
CAN-1997,CAN,1997,4.751,16.885,5952.396,15.79,19.219
CAN-1998,CAN,1998,5.079,16.975,6186.466,,
CAN-1999,CAN,1999,4.929,15.992,6079.305,14.987,18.585
CAN-2000,CAN,2000,4.974,15.709,6166.271,,
CAN-2001,CAN,2001,5.248,16.141,6399.034,15.416,19.412
CAN-2002,CAN,2002,5.359,16.152,6508.876,,
CAN-2003,CAN,2003,5.308,16.233,6620.774,15.485,19.58
CAN-2004,CAN,2004,5.427,16.232,6763.097,,
CAN-2005,CAN,2005,5.455,16.087,6841.155,15.407,19.596
CAN-2006,CAN,2006,5.478,16.347,7053.877,,
CAN-2007,CAN,2007,5.305,16.261,7071.795,15.759,19.95
CAN-2008,CAN,2008,4.576,16.349,7033.773,,
CAN-2009,CAN,2009,5.023,18.08,7579.26,17.678,21.661
CAN-2010,CAN,2010,5.263,17.594,7522.871,,
CAN-2011,CAN,2011,5.223,17.078,7430.225,16.719,20.823
CAN-2012,CAN,2012,5.396,17.219,7552.47,,
CAN-2013,CAN,2013,5.544,16.978,7551.404,16.615,20.998
CAN-2014,CAN,2014,5.698,16.903,7618.761,,
CAN-2015,CAN,2015,6.179,17.931,8073.993,17.466,22.419
CAN-2016,CAN,2016,6.162,18.279,8263.794,,
CAN-2017,CAN,2017,7.07,18.022,8277.611,17.51,23.123
CAN-2018,CAN,2018,7.069,17.985,8301.633,,
CHE-1990,CHE,1990,3.504,12.985,6895.623,,
CHE-1991,CHE,1991,3.73,13.813,7179.454,,
CHE-1992,CHE,1992,4.051,15.247,7849.246,,
CHE-1993,CHE,1993,4.329,16.604,8481.14,,
CHE-1994,CHE,1994,4.582,16.552,8503.662,,
CHE-1995,CHE,1995,7.69,14.824,7584.821,,
CHE-1996,CHE,1996,8.287,15.103,7733.739,,
CHE-1997,CHE,1997,8.503,15.544,8122.428,,
CHE-1998,CHE,1998,8.806,15.52,8324.268,,
CHE-1999,CHE,1999,8.979,15.318,8311.309,,
CHE-2000,CHE,2000,9.155,14.481,8124.099,,
CHE-2001,CHE,2001,9.466,14.796,8368.296,,
CHE-2002,CHE,2002,9.776,15.79,8881.715,,
CHE-2003,CHE,2003,10.115,16.407,9165.657,,
CHE-2004,CHE,2004,10.44,16.297,9294.31,,
CHE-2005,CHE,2005,10.368,16.134,9432.402,,
CHE-2006,CHE,2006,10.074,15.388,9296.996,,
CHE-2007,CHE,2007,9.933,14.776,9211.688,,
CHE-2008,CHE,2008,9.909,14.453,9096.74,,
CHE-2009,CHE,2009,10.503,16.036,9758.394,13.735,22.77
CHE-2010,CHE,2010,10.417,15.716,9776.991,,
CHE-2011,CHE,2011,10.456,15.648,9806.28,13.418,22.384
CHE-2012,CHE,2012,10.584,15.934,9979.412,,
CHE-2013,CHE,2013,10.868,16.222,10229.156,14.037,23.401
CHE-2014,CHE,2014,11.027,16.133,10295.97,,
CHE-2015,CHE,2015,11.364,16.608,10618.968,14.408,24.186
CHE-2016,CHE,2016,11.65,16.824,10823.877,,
CHE-2017,CHE,2017,11.829,17.028,11048.273,14.754,24.89
CHE-2018,CHE,2018,11.732,16.654,11021.116,,
