LocationTime,LOCATION,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY
CHE-2014,CHE,1381.0913333333335,544.1043333333333,3084.6495,708.6750000000001
CHE-2015,CHE,1451.9853333333333,566.8876666666666,3238.448,740.3133333333334
CHE-2016,CHE,1509.934,612.8706666666667,3409.6645000000003,796.509
CHE-2017,CHE,1532.1266666666668,614.1973333333334,3438.9775,793.8583333333332
CHE-2018,CHE,1542.439,622.4796666666667,3470.928,804.8463333333333
CHE-2019,CHE,1569.7813333333334,594.7013333333333,3476.8485,781.451
CHE-2020,CHE,1693.6686666666667,533.848,3595.1780000000003,736.4496666666668
CHL-2000,CHL,123.88799999999999,99.46600000000001,298.4735,108.42766666666667
CHL-2001,CHL,127.76766666666667,103.28233333333333,313.5415,114.59333333333335
CHL-2002,CHL,133.59433333333334,107.47000000000001,329.44899999999996,119.37166666666667
CHL-2003,CHL,141.64533333333335,116.01533333333334,356.9395,129.64766666666665
CHL-2004,CHL,154.26433333333333,121.79699999999998,386.60949999999997,136.809
CHL-2005,CHL,161.83666666666667,129.859,408.64000000000004,143.923
CHL-2006,CHL,192.125,144.73266666666666,482.75899999999996,163.048
CHL-2007,CHL,213.85466666666665,152.42499999999998,533.448,175.11066666666667
CHL-2008,CHL,232.40566666666666,154.232,568.0755,179.645
CHL-2009,CHL,279.07800000000003,162.96133333333333,659.192,193.71666666666667
CHL-2010,CHL,267.79299999999995,156.37166666666667,630.5145,185.8836666666667
CHL-2011,CHL,289.80333333333334,168.152,681.112,197.60433333333333
CHL-2012,CHL,318.44166666666666,177.31733333333332,746.1525,212.32666666666668
CHL-2013,CHL,349.29833333333335,197.96766666666667,832.7785,239.20466666666667
CHL-2014,CHL,366.0263333333333,212.78533333333334,881.3975,254.9053333333333
CHL-2015,CHL,380.25600000000003,223.37300000000002,920.9275,267.02933333333334
CHL-2016,CHL,399.65166666666664,237.43766666666667,974.8875,283.6066666666666
CHL-2017,CHL,446.80566666666664,247.41466666666668,1064.3105,296.06766666666664
CHL-2018,CHL,480.58466666666664,264.8996666666667,1145.1535000000001,316.184
CHL-2019,CHL,486.09066666666666,263.09133333333335,1153.1605,316.016
CHL-2020,CHL,547.791,247.01233333333332,1211.2525,293.044
CHN-2000,CHN,11.480500000000001,31.4115,4.487,40.699000000000005
CHN-2001,CHN,11.9445,33.455,4.235,40.058
CHN-2002,CHN,13.247499999999999,32.7985,4.369,38.861
CHN-2003,CHN,14.8125,31.6975,4.409,37.3255
CHN-2004,CHN,15.7695,30.6425,4.281,36.306999999999995
CHN-2005,CHN,17.064,30.052,4.184,34.918
CHN-2006,CHN,18.3015,29.1015,3.95,33.5985
CHN-2007,CHN,20.231,26.589499999999997,3.68,31.515
CHN-2008,CHN,23.125999999999998,24.6045,3.886,28.736
CHN-2009,CHN,25.770500000000002,22.6705,4.339,26.343500000000002
CHN-2010,CHN,27.0415,21.255499999999998,4.194,24.992
CHN-2011,CHN,97.243,72.88533333333334,221.51700000000002,83.63166666666666
CHN-2012,CHN,113.957,80.21966666666667,256.6925,90.389
CHN-2013,CHN,126.728,84.76533333333333,283.20099999999996,95.28266666666666
CHN-2014,CHN,136.36366666666666,85.356,300.1565,97.00333333333333
CHN-2015,CHN,148.46866666666665,86.56633333333333,320.055,98.21333333333332
CHN-2016,CHN,149.722,92.527,336.5365,107.96466666666667
CHN-2017,CHN,157.82000000000002,100.391,367.711,120.65233333333333
CHN-2018,CHN,172.79366666666667,109.12433333333333,407.858,132.443
CHN-2019,CHN,186.97533333333334,117.399,449.853,146.258
COL-2000,COL,40.4115,7.2315000000000005,5.635,12.406500000000001
COL-2001,COL,40.801,7.0969999999999995,5.942,12.17
COL-2002,COL,41.4495,6.0745000000000005,5.733,11.417
COL-2003,COL,42.198,4.5504999999999995,5.775,10.6895
COL-2004,COL,40.2005,7.2785,5.799,12.699
COL-2005,COL,39.3285,8.701500000000001,6.067,13.705
COL-2006,COL,39.544000000000004,9.5345,6.336,13.6235
COL-2007,COL,38.954499999999996,10.248999999999999,6.491,14.291
COL-2008,COL,38.3415,11.14,6.842,15.079500000000001
COL-2009,COL,39.908500000000004,9.666,7.311,13.747
COL-2010,COL,40.051500000000004,9.103000000000002,7.071,13.484
COL-2011,COL,227.4726666666667,45.86933333333334,399.2355,72.01766666666667
COL-2012,COL,232.71233333333336,56.25633333333334,422.514,82.297
COL-2013,COL,260.131,59.031666666666666,466.2225,84.01733333333333
COL-2014,COL,277.95300000000003,59.38566666666667,497.264,86.88933333333334
COL-2015,COL,290.5996666666667,58.654666666666664,521.2715,90.24833333333333
COL-2016,COL,306.6993333333333,62.925333333333334,554.5794999999999,96.35366666666668
COL-2017,COL,318.467,63.86533333333333,573.5605,97.23966666666666
COL-2018,COL,334.685,65.542,599.755,98.48566666666666
COL-2019,COL,361.71133333333336,65.99,650.74,105.44866666666667
COL-2020,COL,378.64733333333334,65.44033333333333,672.435,102.976
CRI-2000,CRI,35.1855,16.823999999999998,6.565,18.096999999999998
CRI-2001,CRI,35.3335,16.8405,6.474,17.9035
CRI-2002,CRI,36.169000000000004,16.3995,6.869,17.266
CRI-2003,CRI,35.988,16.4545,6.969,17.4965
CRI-2004,CRI,35.631,17.093,6.63,17.683999999999997
CRI-2005,CRI,34.583,17.479,6.664,18.749000000000002
CRI-2006,CRI,35.776500000000006,16.616,6.935,17.6915
CRI-2007,CRI,35.8265,16.537499999999998,6.996,17.671499999999998
CRI-2008,CRI,36.842999999999996,15.8575,7.469,16.8915
CRI-2009,CRI,38.685500000000005,14.2385,7.86,15.2445
CRI-2010,CRI,39.492999999999995,13.711,8.029,14.522
CRI-2011,CRI,312.36033333333336,109.53266666666667,592.1365000000001,115.73066666666665
CRI-2012,CRI,327.57233333333335,107.41766666666668,613.0695,114.47366666666666
CRI-2013,CRI,335.9653333333333,103.30333333333333,622.8875,112.62633333333333
CRI-2014,CRI,345.3876666666667,114.56566666666667,660.054,127.98100000000001
CRI-2015,CRI,371.7906666666667,111.26233333333333,695.091,124.93599999999999
CRI-2016,CRI,380.65933333333334,111.56833333333334,710.291,126.20100000000001
CRI-2017,CRI,387.94966666666664,109.995,726.2415000000001,129.54500000000002
CRI-2018,CRI,402.8333333333333,122.31933333333332,768.5035,142.83533333333332
CRI-2019,CRI,409.955,123.78166666666668,781.6945,144.508
CRI-2020,CRI,436.001,116.69500000000001,812.839,139.225
CYP-2005,CYP,219.90833333333333,265.47433333333333,744.731,309.9123333333333
CYP-2006,CYP,240.80633333333336,272.23999999999995,790.8075,319.73199999999997
CYP-2007,CYP,262.0056666666666,297.6703333333333,859.1220000000001,344.07466666666664
CYP-2008,CYP,300.4746666666667,367.46599999999995,1023.7959999999999,415.38899999999995
CYP-2009,CYP,311.4696666666667,361.9503333333334,1038.1605,413.97066666666666
CYP-2010,CYP,335.47266666666667,313.41833333333335,1040.631,389.3326666666667
CYP-2011,CYP,339.52466666666663,293.6426666666667,1014.5725,367.75
CYP-2012,CYP,323.8926666666667,296.139,998.3625000000001,372.55299999999994
CYP-2013,CYP,326.3186666666667,301.599,1011.9889999999999,378.52600000000007
CYP-2014,CYP,306.3536666666667,321.05766666666665,1017.561,402.38300000000004
CYP-2015,CYP,307.853,318.769,1046.0575,417.43533333333335
CYP-2016,CYP,334.3376666666667,355.9793333333334,1147.052,463.69733333333335
CYP-2017,CYP,348.91433333333333,376.25466666666665,1210.954,491.7223333333334
CYP-2018,CYP,381.3253333333334,402.51,1311.0275,526.0266666666666
CYP-2019,CYP,522.6026666666667,302.455,1362.267,418.9086666666667
CYP-2020,CYP,800.5813333333334,143.54733333333334,1487.168,224.19766666666666
CZE-1990,CZE,192.394,5.8260000000000005,247.33,5.8260000000000005
CZE-1991,CZE,173.93833333333336,6.821666666666666,221.1405,6.821666666666666
CZE-1992,CZE,178.94733333333332,9.926,233.31,9.926
CZE-1993,CZE,239.38000000000002,15.147,331.7905,15.147
CZE-1994,CZE,257.4316666666667,19.413333333333334,365.26750000000004,19.413333333333334
CZE-1995,CZE,273.3143333333333,31.311666666666664,406.9415,31.311666666666664
CZE-1996,CZE,288.321,33.157666666666664,432.2165,33.157666666666664
