LocationTime,LOCATION,TIME,employment_val_BUPPSRY_PC_25_64,employment_val_TRY_PC_25_64,employment_val_UPPSRY_NTRY_PC_25_64
CHL-2011,CHL,2011,59.95084,84.29744,70.344803
CHL-2013,CHL,2013,61.319107,83.981934,71.587563
CHL-2015,CHL,2015,62.158195,84.405441,71.810188
CHL-2017,CHL,2017,62.410728,84.466148,71.874092
CHL-2020,CHL,2020,52.084259,80.033325,62.624771
COL-2014,COL,2014,72.179565,84.353065,76.281158
COL-2015,COL,2015,71.94149,83.759758,76.975761
COL-2016,COL,2016,71.979202,82.525581,76.484291
COL-2017,COL,2017,71.794205,83.000542,75.1996
COL-2018,COL,2018,71.09211,81.974762,74.945816
COL-2019,COL,2019,69.47451,81.359108,73.817146
COL-2020,COL,2020,61.813076,74.228973,65.633812
CRI-1990,CRI,1990,56.926033,77.664375,70.54055
CRI-1991,CRI,1991,56.188293,79.329597,69.887222
CRI-1992,CRI,1992,56.452,78.400902,68.428177
CRI-1993,CRI,1993,57.102432,80.046448,68.568092
CRI-1994,CRI,1994,58.26001,78.006798,70.439384
CRI-1995,CRI,1995,58.913231,78.183334,71.144424
CRI-1996,CRI,1996,56.965866,80.563759,67.222862
CRI-1997,CRI,1997,59.99564,82.073799,67.886566
CRI-1998,CRI,1998,60.982613,80.992729,70.951088
CRI-1999,CRI,1999,61.357746,81.605812,70.844193
CRI-2000,CRI,2000,61.59605,82.1614,70.986984
CRI-2001,CRI,2001,63.489506,83.611443,73.316238
CRI-2002,CRI,2002,63.410751,84.669533,71.242462
CRI-2003,CRI,2003,63.34066,83.751411,72.282898
CRI-2004,CRI,2004,62.776333,81.76635,71.887047
CRI-2005,CRI,2005,65.914574,84.503532,72.513893
CRI-2006,CRI,2006,66.147629,83.774475,71.005692
CRI-2007,CRI,2007,67.708755,83.970078,71.649071
CRI-2008,CRI,2008,67.077698,83.231461,73.257668
CRI-2009,CRI,2009,64.507881,84.303986,72.93705
CRI-2010,CRI,2010,64.263031,83.639328,73.494446
CRI-2011,CRI,2011,61.148151,81.227402,72.280754
CRI-2012,CRI,2012,65.437431,82.175148,74.14592
CRI-2013,CRI,2013,65.945564,82.00811,72.504944
CRI-2014,CRI,2014,65.438843,82.271797,73.132286
CRI-2015,CRI,2015,64.481216,81.229309,71.712273
CRI-2016,CRI,2016,61.668736,80.602211,71.112854
CRI-2017,CRI,2017,63.806953,80.824501,69.137001
CRI-2018,CRI,2018,65.368034,80.942894,69.846558
CRI-2019,CRI,2019,65.622574,82.156219,72.815857
CRI-2020,CRI,2020,57.276474,76.803146,64.303535
CZE-1994,CZE,1994,55.94545,90.673035,82.251007
CZE-1995,CZE,1995,55.585411,91.861259,82.44651
CZE-1997,CZE,1997,51.074863,89.319771,79.668602
CZE-1998,CZE,1998,49.501915,88.654297,78.203987
CZE-1999,CZE,1999,46.921894,87.393341,76.380905
CZE-2000,CZE,2000,46.878235,86.837059,75.545921
CZE-2001,CZE,2001,46.677689,87.750053,75.7313
CZE-2002,CZE,2002,45.287331,87.063774,76.23436
CZE-2003,CZE,2003,45.96307,86.460495,75.829086
CZE-2004,CZE,2004,42.303959,86.382202,74.798615
CZE-2005,CZE,2005,41.195751,85.798317,75.487686
CZE-2006,CZE,2006,43.939117,85.073532,75.553139
CZE-2007,CZE,2007,45.668751,85.218811,76.120239
CZE-2008,CZE,2008,46.547138,85.116821,76.596436
CZE-2009,CZE,2009,43.948586,84.264351,75.092216
CZE-2010,CZE,2010,43.15493,83.333153,74.4925
CZE-2011,CZE,2011,42.19772,83.094688,75.280701
CZE-2012,CZE,2012,40.431568,83.56321,75.922844
CZE-2013,CZE,2013,41.836891,84.885902,76.598831
CZE-2014,CZE,2014,43.02264,84.497963,77.571945
CZE-2015,CZE,2015,41.919285,84.831734,78.945419
CZE-2016,CZE,2016,45.122135,85.599098,80.725128
CZE-2017,CZE,2017,50.521461,86.036484,82.215881
CZE-2018,CZE,2018,52.233006,87.262779,83.511574
CZE-2019,CZE,2019,55.278542,86.606911,83.994926
CZE-2020,CZE,2020,57.004353,85.621941,83.538231
DEU-1991,DEU,1991,49.910133,85.013275,72.35878
DEU-1992,DEU,1992,51.890175,84.653061,71.75132
DEU-1994,DEU,1994,49.00457,83.358749,70.181198
DEU-1995,DEU,1995,49.236652,84.151466,70.956406
DEU-1997,DEU,1997,45.705223,82.290977,68.222221
DEU-1998,DEU,1998,46.114658,82.210487,67.916527
DEU-1999,DEU,1999,48.747017,82.973106,69.875267
DEU-2000,DEU,2000,50.598801,83.401245,70.378204
DEU-2001,DEU,2001,51.81617,83.424339,70.535309
DEU-2002,DEU,2002,50.925064,83.558861,70.330383
DEU-2003,DEU,2003,50.15181,82.973022,69.734657
DEU-2004,DEU,2004,48.576359,82.653915,69.45546
DEU-2005,DEU,2005,51.573818,82.865166,70.591591
DEU-2006,DEU,2006,53.769577,84.33522,72.533493
DEU-2007,DEU,2007,54.629837,85.467903,74.382507
DEU-2008,DEU,2008,55.277187,85.819786,75.336967
DEU-2009,DEU,2009,54.926422,86.414375,75.499069
DEU-2010,DEU,2010,55.349537,86.929436,76.321815
DEU-2011,DEU,2011,56.529499,87.853821,77.594276
DEU-2012,DEU,2012,57.46994,87.890465,78.183426
DEU-2013,DEU,2013,57.914753,87.763885,78.824455
DEU-2014,DEU,2014,57.983791,88.078751,79.660805
DEU-2015,DEU,2015,58.731674,88.13018,79.915161
DEU-2016,DEU,2016,59.416393,88.329994,80.961189
DEU-2017,DEU,2017,60.017593,88.58493,81.59716
DEU-2018,DEU,2018,60.951149,88.895027,82.278389
DEU-2019,DEU,2019,61.942692,89.345268,82.785255
DEU-2020,DEU,2020,62.644703,88.669289,82.157883
DNK-1991,DNK,1991,61.964344,89.32708,80.894974
DNK-1992,DNK,1992,61.661186,88.758072,80.804176
DNK-1994,DNK,1994,60.119549,88.505684,79.862686
DNK-1995,DNK,1995,61.472237,88.618248,80.470116
DNK-1998,DNK,1998,60.857647,87.48867,79.116905
DNK-1999,DNK,1999,61.676125,87.872902,80.734215
DNK-2000,DNK,2000,62.469681,88.410698,80.931572
DNK-2001,DNK,2001,61.540264,87.199196,80.952553
DNK-2002,DNK,2002,61.17897,86.016006,80.331329
DNK-2003,DNK,2003,62.662125,85.192345,79.761818
DNK-2004,DNK,2004,61.698513,85.53891,79.827087
DNK-2005,DNK,2005,61.519829,86.435089,79.935875
DNK-2006,DNK,2006,62.756851,87.439705,81.282875
DNK-2007,DNK,2007,67.496246,87.203529,82.279282
DNK-2008,DNK,2008,66.725883,87.843956,81.370178
DNK-2009,DNK,2009,63.210625,86.004707,78.272186
DNK-2010,DNK,2010,60.972359,85.256737,77.806847
DNK-2011,DNK,2011,60.681927,85.386017,77.94986
DNK-2012,DNK,2012,59.152397,85.644394,77.52253
DNK-2013,DNK,2013,58.606014,85.803421,77.874519
DNK-2014,DNK,2014,59.843922,85.325394,78.09037
DNK-2015,DNK,2015,59.170334,85.606461,79.556328
