LocationTime,LOCATION,TIME,obesity_val_MEASURED,obesity_val_SELFREPORTED
FRA-2017,FRA,2017,46.4,46.1
FRA-2019,FRA,2019,,45.3
GBR-1991,GBR,1991,49.0,
GBR-1992,GBR,1992,50.0,
GBR-1993,GBR,1993,52.9,
GBR-1994,GBR,1994,53.1,
GBR-1995,GBR,1995,54.5,
GBR-1996,GBR,1996,56.2,
GBR-1997,GBR,1997,56.9,
GBR-1998,GBR,1998,57.7,
GBR-1999,GBR,1999,57.9,
GBR-2000,GBR,2000,60.0,
GBR-2001,GBR,2001,61.6,
GBR-2002,GBR,2002,60.6,
GBR-2003,GBR,2003,60.5,
GBR-2004,GBR,2004,61.8,
GBR-2005,GBR,2005,60.5,
GBR-2006,GBR,2006,61.6,
GBR-2007,GBR,2007,60.8,
GBR-2008,GBR,2008,61.4,
GBR-2009,GBR,2009,61.3,
GBR-2010,GBR,2010,62.8,
GBR-2011,GBR,2011,61.7,
GBR-2012,GBR,2012,61.9,
GBR-2013,GBR,2013,62.1,
GBR-2014,GBR,2014,61.7,
GBR-2015,GBR,2015,62.9,
GBR-2016,GBR,2016,61.4,
GBR-2017,GBR,2017,64.3,
GBR-2018,GBR,2018,63.3,
GBR-2019,GBR,2019,64.2,
GRC-2006,GRC,2006,,57.7
GRC-2008,GRC,2008,,58.3
GRC-2009,GRC,2009,,55.8
GRC-2014,GRC,2014,,56.2
GRC-2019,GRC,2019,,57.2
HUN-2000,HUN,2000,,51.4
HUN-2003,HUN,2003,,52.8
HUN-2009,HUN,2009,61.6,54.1
HUN-2014,HUN,2014,62.3,54.5
HUN-2019,HUN,2019,67.6,58.2
IDN-1993,IDN,1993,,13.0
IDN-2014,IDN,2014,,25.0
IRL-1998,IRL,1998,,43.0
IRL-2002,IRL,2002,,48.0
IRL-2007,IRL,2007,61.0,51.0
IRL-2015,IRL,2015,61.0,53.0
IRL-2017,IRL,2017,62.0,
IRL-2019,IRL,2019,61.0,56.0
ISL-1990,ISL,1990,,36.5
ISL-2002,ISL,2002,,48.3
ISL-2007,ISL,2007,,60.2
ISL-2010,ISL,2010,,58.5
ISL-2012,ISL,2012,,63.3
ISL-2015,ISL,2015,,55.3
ISL-2019,ISL,2019,,58.5
ISR-1999,ISR,1999,62.2,
ISR-2002,ISR,2002,,43.5
ISR-2004,ISR,2004,,44.2
ISR-2006,ISR,2006,,44.1
ISR-2008,ISR,2008,,47.7
ISR-2010,ISR,2010,,49.8
ISR-2013,ISR,2013,,51.8
ISR-2014,ISR,2014,,54.5
ISR-2015,ISR,2015,50.9,
ISR-2016,ISR,2016,,53.1
ISR-2017,ISR,2017,,50.1
ISR-2019,ISR,2019,,56.0
ISR-2020,ISR,2020,,54.7
ITA-1994,ITA,1994,,38.1
ITA-1999,ITA,1999,,41.2
ITA-2000,ITA,2000,,41.1
ITA-2001,ITA,2001,,42.4
ITA-2002,ITA,2002,,42.0
ITA-2003,ITA,2003,,42.6
